Team	GM	RSHYD	RSHTD	REC	RECYD	RECTD	TCH	SCRYD	SCRTD	FP	FP AVG	Unnamed: 12	RSHYD AVG	RSHYD RNK	Unnamed: 15	RSHTD AVG	RSHTD RANK	Unnamed: 18	REC AVG	REC RNK	Unnamed: 21	RECYD AVG	RECYD RNK	Unnamed: 24	RECTD AVG	RECTD RANK	Unnamed: 27	TCH AVG	TCH RNK	Unnamed: 30	SCRYD AVG	SCRYD RNK	Unnamed: 33	SCRTD AVG	SCRTD RNK	Unnamed: 36	FP RNK	FP/RUSH	FP/RUSH RNK	FP/REC	FP/REC RNK	FP/TCH	FP/TCH RNK
ARI	17	2147	18	369	3912	20	833	6059	38	419.2	24.66		105.65	9		0.71	16		4.65	12		38.0	8		0.24	6		27.18	9		143.65	5		0.94	13		6	1.09	7	5.31	13	0.91	9
ATL	17	2020	9	403	4002	34	851	6022	43	371.8	21.87		85.41	23		0.35	30		5.65	1		34.47	15		0.35	3		25.12	23		119.88	23		0.71	23		19	1.12	4	3.87	32	0.87	16
BAL	19	1536	15	429	4861	28	858	6397	43	368.2	19.38		65.0	32		0.47	26		4.79	6		39.84	3		0.21	13		23.11	30		104.84	30		0.68	25		29	1.06	14	4.05	29	0.84	23
BUF	20	2348	17	444	4744	31	958	7092	48	477.0	23.85		93.7	18		0.6	22		5.05	5		40.3	2		0.3	5		26.15	15		134.0	13		0.9	15		11	1.13	3	4.72	24	0.91	8
CAR	17	2992	23	360	4043	35	941	7035	58	512.6	30.15		148.24	1		1.06	2		4.35	15		35.65	12		0.18	14		32.94	1		183.88	1		1.24	2		1	1.05	16	6.93	4	0.92	5
CHI	17	2315	19	325	3959	17	809	6274	36	436.4	25.67		119.82	2		1.06	2		4.12	21		32.18	18		0.0	28		28.41	6		152.0	2		1.06	8		4	1.06	15	6.23	6	0.9	10
CIN	17	2119	20	370	4014	28	847	6133	48	382.9	22.52		89.94	19		0.94	6		4.41	14		31.18	20		0.06	24		25.53	20		121.12	21		1.0	9		14	1.07	13	5.11	20	0.88	13
CLE	17	2055	19	316	3878	26	795	5933	45	334.3	19.66		87.12	21		0.88	8		3.18	31		24.82	30		0.0	28		24.35	25		111.94	25		0.88	18		27	0.93	28	6.19	7	0.81	26
DAL	17	2313	25	349	4047	28	828	6360	53	396.9	23.35		94.65	16		0.88	8		4.06	23		38.24	6		0.12	16		25.59	19		132.88	14		1.0	9		13	1.08	9	5.75	8	0.91	7
DEN	18	1853	11	410	4341	24	877	6194	35	392.3	21.79		83.11	26		0.44	28		4.78	7		37.06	9		0.39	2		25.72	18		120.17	22		0.83	21		20	1.04	17	4.56	26	0.85	21
DET	18	1856	21	395	4703	20	804	6559	41	360.2	20.01		72.17	30		0.83	12		3.61	27		35.17	13		0.11	20		20.5	32		107.33	28		0.94	11		24	1.18	1	5.54	10	0.98	1
