date,start_time,game_url,team1,spread1,odds_spread1,total1,odds_total1,moneyline1,team2,spread2,odds_spread2,total2,odds_total2,moneyline2
THU SEP 4TH,6:20PM,https://sportsbook.draftkings.com/event/dal-cowboys-%40-phi-eagles/32225662?category=odds&subcategory=popular,DAL Cowboys,+7,−110,46.5,−110,+250,PHI Eagles,-7,−110,46.5,−110,−310
SUN SEP 28TH,7:30AM,https://sportsbook.draftkings.com/event/min-vikings-%40-pit-steelers/32225655?category=odds&subcategory=popular,MIN Vikings,-1.5,−110,42.5,−110,−122,PIT Steelers,+1.5,−110,42.5,−110,+102
SUN OCT 5TH,7:30AM,https://sportsbook.draftkings.com/event/min-vikings-%40-cle-browns/32225540?category=odds&subcategory=popular,MIN Vikings,-7,−110,41.5,−110,−325,CLE Browns,+7,−110,41.5,−110,+260
SUN OCT 12TH,7:30AM,https://sportsbook.draftkings.com/event/den-broncos-%40-ny-jets/32225687?category=odds&subcategory=popular,DEN Broncos,-6.5,−110,42.5,−110,−270,NY Jets,+6.5,−110,42.5,−110,+220
SUN OCT 19TH,7:30AM,https://sportsbook.draftkings.com/event/la-rams-%40-jax-jaguars/32225673?category=odds&subcategory=popular,LA Rams,-3.5,−110,47.5,−110,−175,JAX Jaguars,+3.5,−110,47.5,−110,+145
SUN NOV 9TH,7:30AM,https://sportsbook.draftkings.com/event/atl-falcons-%40-ind-colts/32225651?category=odds&subcategory=popular,ATL Falcons,-1.5,−102,44.5,−110,−112,IND Colts,+1.5,−118,44.5,−110,−108
MON NOV 10TH,6:20PM,https://sportsbook.draftkings.com/event/phi-eagles-%40-gb-packers/32225592?category=odds&subcategory=popular,PHI Eagles,-1.5,−110,45.5,−110,−122,GB Packers,+1.5,−110,45.5,−110,+102
THU NOV 27TH,2:30PM,https://sportsbook.draftkings.com/event/kc-chiefs-%40-dal-cowboys/32225542?category=odds&subcategory=popular,KC Chiefs,-4.5,−110,47.5,−110,−218,DAL Cowboys,+4.5,−110,47.5,−110,+180
FRI NOV 28TH,1:00PM,https://sportsbook.draftkings.com/event/chi-bears-%40-phi-eagles/32225671?category=odds&subcategory=popular,CHI Bears,+7,−110,46.5,−110,+245,PHI Eagles,-7,−110,46.5,−110,−305
SAT DEC 20TH,1:00PM,https://sportsbook.draftkings.com/event/phi-eagles-%40-was-commanders/32225564?category=odds&subcategory=popular,PHI Eagles,-1.5,−110,47.5,−105,−122,WAS Commanders,+1.5,−110,47.5,−115,+102
SAT DEC 20TH,4:30PM,https://sportsbook.draftkings.com/event/gb-packers-%40-chi-bears/32225522?category=odds&subcategory=popular,GB Packers,-1.5,−110,45.5,−110,−120,CHI Bears,+1.5,−110,45.5,−110,+100
