Season	 Week	 Player            	 Position	 Team	 Opponent	 Pass_Comp	 Pass_Att	 Pass_Yards	 Pass_TD	 Pass_Int	 Rush_Att	 Rush_Yards	 Rush_TD	 Rec_Targets	 Rec_Recep	 Rec_Yards	 Rec_TD	 PPR_Points	 PPR_Average	 Snapcount	 Reg_League_Avg	 Reg_Due_For
  2024	    1	 A.J. Brown        	 WR      	 PHI 	 GB      	         0	        0	          0	       0	        0	        0	 0         	       0	          10	         5	       119	      1	      22.9 	       22.9 	        72	 7.8703        	 -1.1297
  2024	    1	 AJ Barner         	 TE      	 SEA 	 DEN     	         0	        0	          0	       0	        0	        0	 0         	       0	           0	         0	         0	      0	       0   	        0   	        32	 2.052         	 -1.948
  2024	    1	 Aaron Jones       	 RB      	 MIN 	 NYG     	         0	        0	          0	       0	        0	       14	 94        	       1	           2	         2	        15	      0	      18.9 	       18.9 	        30	 8.7681        	 3.7681
  2024	    1	 Aaron Rodgers     	 QB      	 NYJ 	 SF      	        13	       21	        167	       1	        1	        1	 -1        	       0	           0	         0	         0	      0	       8.58	        8.58	        38	 25.9324       	 -2.0676
  2024	    1	 Adam Prentice     	 RB      	 NO  	 CAR     	         0	        0	          0	       0	        0	        0	 0         	       0	           0	         0	         0	      0	       0   	        0   	        24	 -0.4827       	 -0.4827
  2024	    1	 Adam Thielen      	 WR      	 CAR 	 NO      	         0	        0	          0	       0	        0	        0	 0         	       0	           4	         3	        49	      0	       7.9 	        7.9 	        41	 3.3559        	 -1.6441
  2024	    1	 Adam Trautman     	 TE      	 DEN 	 SEA     	         0	        0	          0	       0	        0	        0	 0         	       0	           1	         0	         0	      0	       0   	        0   	        24	 1.7055        	 -0.2945
  2024	    1	 Adonai Mitchell   	 WR      	 IND 	 HOU     	         0	        0	          0	       0	        0	        0	 0         	       0	           5	         1	         2	      0	       1.2 	        1.2 	        29	 1.1743        	 1.1743
  2024	    1	 Alec Ingold       	 RB      	 MIA 	 JAX     	         0	        0	          0	       0	        0	        2	 8         	       0	           1	         0	         0	      0	       0.8 	        0.8 	        29	 -0.3501       	 -1.3501
  2024	    1	 Alec Pierce       	 WR      	 IND 	 HOU     	         0	        0	          0	       0	        0	        0	 0         	       0	           3	         3	       125	      1	      21.5 	       21.5 	        38	 4.8607        	 -2.1393
  2024	    1	 Alexander Mattison	 RB      	 LV  	 LAC     	         0	        0	          0	       0	        0	        5	 19        	       0	           6	         4	        43	      1	      16.2 	       16.2 	        36	 2.7933        	 -1.2067
  2024	    1	 Allen Lazard      	 WR      	 NYJ 	 SF      	         0	        0	          0	       0	        0	        0	 0         	       0	           9	         6	        89	      2	      26.9 	       26.9 	        51	 2.7439        	 -3.2561
  2024	    1	 Alvin Kamara      	 RB      	 NO  	 CAR     	         0	        0	          0	       0	        0	       15	 83        	       1	           5	         5	        27	      0	      22   	       22   	        34	 6.9273        	 0.9273
  2024	    1	 Amari Cooper      	 WR      	 CLE 	 DAL     	         0	        0	          0	       0	        0	        0	 0         	       0	           9	         2	        16	      0	       3.6 	        3.6 	        72	 3.1615        	 -0.8385
  2024	    1	 Amon-Ra St. Brown 	 WR      	 DET 	 LAR     	         0	        0	          0	       0	        0	        0	 0         	       0	           6	         3	        13	      0	       4.3 	        4.3 	        60	 9.0079        	 -2.9921
  2024	    1	 Andrei Iosivas    	 WR      	 CIN 	 NE      	         0	        0	          0	       0	        0	        0	 0         	       0	           6	         3	        26	      0	       5.6 	        5.6 	        51	 2.3767        	 -3.6233
  2024	    1	 Andy Dalton       	 QB      	 CAR 	 NO      	         0	        0	          0	       0	        0	        0	 0         	       0	           0	         0	         0	      0	       0   	        0   	         5	 4.704         	 -2.296
  2024	    1	 Anthony Gould     	 WR      	 IND 	 HOU     	         0	        0	          0	       0	        0	        0	 0         	       0	           0	         0	         0	      0	       0   	        0   	         7	 -0.9065       	 -0.9065
  2024	    1	 Anthony Richardson	 QB      	 IND 	 HOU     	         9	       19	        212	       2	        1	        6	 56        	       1	           0	         0	         0	      0	      26.08	       26.08	        45	 10.7265       	 2.7265
  2024	    1	 Antonio Gibson    	 RB      	 NE  	 CIN     	         0	        0	          0	       0	        0	        7	 18        	       0	           0	         0	         0	      0	       1.8 	        1.8 	        14	 3.7059        	 2.7059
  2024	    1	 Ashton Dulin      	 WR      	 IND 	 HOU     	         0	        0	          0	       0	        0	        0	 0         	       0	           1	         1	        54	      1	      12.4 	       12.4 	        11	 -0.5897       	 -1.5897
  2024	    1	 Audric Estime     	 RB      	 DEN 	 SEA     	         0	        0	          0	       0	        0	        2	 14        	       0	           0	         0	         0	      0	       1.4 	        1.4 	         3	 1.9353        	 -0.0647
  2024	    1	 Austin Ekeler     	 RB      	 WAS 	 TB      	         0	        0	          0	       0	        0	        2	 10        	       0	           4	         4	        52	      0	      10.2 	       10.2 	        31	 3.0741        	 -0.9259
  2024	    1	 Austin Hooper     	 TE      	 NE  	 CIN     	         0	        0	          0	       0	        0	        0	 0         	       0	           4	         2	        31	      0	       5.1 	        5.1 	        36	 3.5073        	 0.5073
