date,start_time,game_url,team1,spread1,odds_spread1,total1,odds_total1,moneyline1,team2,spread2,odds_spread2,total2,odds_total2,moneyline2
THU SEP 4TH,6:20PM,https://sportsbook.draftkings.com/event/dal-cowboys-%40-phi-eagles/32225662?category=odds&subcategory=popular,DAL Cowboys,+7,−110,46.5,−110,+250,PHI Eagles,-7,−110,46.5,−110,−310
FRI SEP 5TH,6:00PM,https://sportsbook.draftkings.com/event/kc-chiefs-%40-la-chargers/32225711?category=odds&subcategory=popular,KC Chiefs,-3,−110,44.5,−110,−155,LA Chargers,+3,−110,44.5,−110,+130
SUN SEP 7TH,11:00AM,https://sportsbook.draftkings.com/event/cin-bengals-%40-cle-browns/32225536?category=odds&subcategory=popular,CIN Bengals,-4.5,−118,44.5,−110,−218,CLE Browns,+4.5,−102,44.5,−110,+180
SUN SEP 7TH,11:00AM,https://sportsbook.draftkings.com/event/ny-giants-%40-was-commanders/32225562?category=odds&subcategory=popular,NY Giants,+7.5,−110,45.5,−105,+270,WAS Commanders,-7.5,−110,45.5,−115,−340
SUN SEP 7TH,11:00AM,https://sportsbook.draftkings.com/event/ari-cardinals-%40-no-saints/32225733?category=odds&subcategory=popular,ARI Cardinals,-3.5,−115,43.5,−115,−192,NO Saints,+3.5,−105,43.5,−105,+160
SUN SEP 7TH,11:00AM,https://sportsbook.draftkings.com/event/car-panthers-%40-jax-jaguars/32225675?category=odds&subcategory=popular,CAR Panthers,+3.5,−115,45.5,−115,+140,JAX Jaguars,-3.5,−105,45.5,−105,−166
SUN SEP 7TH,11:00AM,https://sportsbook.draftkings.com/event/lv-raiders-%40-ne-patriots/32225749?category=odds&subcategory=popular,LV Raiders,+3.5,−120,43.5,−110,+140,NE Patriots,-3.5,+100,43.5,−110,−166
SUN SEP 7TH,11:00AM,https://sportsbook.draftkings.com/event/tb-buccaneers-%40-atl-falcons/32225465?category=odds&subcategory=popular,TB Buccaneers,-2.5,−115,47.5,−110,−142,ATL Falcons,+2.5,−105,47.5,−110,+120
SUN SEP 7TH,11:00AM,https://sportsbook.draftkings.com/event/mia-dolphins-%40-ind-colts/32225636?category=odds&subcategory=popular,MIA Dolphins,+1.5,−112,45.5,−110,+100,IND Colts,-1.5,−108,45.5,−110,−120
SUN SEP 7TH,11:00AM,https://sportsbook.draftkings.com/event/pit-steelers-%40-ny-jets/32225685?category=odds&subcategory=popular,PIT Steelers,-2.5,−115,39.5,−110,−142,NY Jets,+2.5,−105,39.5,−110,+120
