Season, Week, Player             , Position, Team, Opponent, Pass_Comp, Pass_Att, Pass_Yards, Pass_TD, Pass_Int, Rush_Att, Rush_Yards, Rush_TD, Rec_Targets, Rec_Recep, Rec_Yards, Rec_TD, PPR_Points, PPR_Average, Snapcount, Reg_League_Avg, Reg_Due_For
  2024,    1, Kyler Murray       , QB      , ARI , @ BUF   ,         0,        0,        162,       1,        5,        0,          0,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,    2, Kyler Murray       , QB      , ARI , vs LAR  ,         0,        0,        266,       3,        5,        0,          0,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,    3, Kyler Murray       , QB      , ARI , vs DET  ,         0,        0,        207,       1,       15,        0,          0,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,    4, Kyler Murray       , QB      , ARI , vs WAS  ,         0,        0,        142,       1,        1,        0,          0,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,    5, Kyler Murray       , QB      , ARI , @ SF    ,         0,        0,        195,       1,       17,        0,          0,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,    6, Kyler Murray       , QB      , ARI , @ GB    ,         0,        0,        214,       1,        7,        0,          0,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,    7, Kyler Murray       , QB      , ARI , vs LAC  ,         0,        0,        145,       1,       16,        0,          0,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,    8, Kyler Murray       , QB      , ARI , @ MIA   ,         0,        0,        307,       2,        5,        0,          0,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,    9, Kyler Murray       , QB      , ARI , vs CHI  ,         0,        0,        154,       0,        2,        0,          0,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,   10, Kyler Murray       , QB      , ARI , vs NYJ  ,         0,        0,        266,       1,        3,        0,          0,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,   11, Kyler Murray       , QB      , ARI , -       ,         0,        0,          0,       0,        0,        0,          0,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,   12, Kyler Murray       , QB      , ARI , @ SEA   ,         0,        0,        285,       0,       12,        0,          0,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,   13, Kyler Murray       , QB      , ARI , @ MIN   ,         0,        0,        260,       1,       27,        0,          0,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,   14, Kyler Murray       , QB      , ARI , vs SEA  ,         0,        0,        259,       2,       23,        0,          0,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,   15, Kyler Murray       , QB      , ARI , vs NE   ,         0,        0,        224,       0,        5,        0,          0,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,   16, Kyler Murray       , QB      , ARI , @ CAR   ,         0,        0,        202,       1,       18,        0,          0,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,   17, Kyler Murray       , QB      , ARI , @ LAR   ,         0,        0,        321,       1,       24,        0,          0,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,   18, Kyler Murray       , QB      , ARI , vs SF   ,         0,        0,        242,       4,        3,        0,          0,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,    1, Clayton Tune       , QB      , ARI , @ BUF   ,         0,        0,          0,       0,        0,        0,          0,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,    2, Clayton Tune       , QB      , ARI , vs LAR  ,         0,        0,          0,       0,        1,        0,          0,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,    3, Clayton Tune       , QB      , ARI , vs DET  ,         0,        0,          0,       0,        0,        0,          0,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,    4, Clayton Tune       , QB      , ARI , vs WAS  ,         0,        0,          0,       0,        0,        0,          0,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,    5, Clayton Tune       , QB      , ARI , @ SF    ,         0,        0,          0,       0,        0,        0,          0,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,    6, Clayton Tune       , QB      , ARI , @ GB    ,         0,        0,          0,       0,        0,        0,          0,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,    7, Clayton Tune       , QB      , ARI , vs LAC  ,         0,        0,          0,       0,        3,        0,          0,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,    8, Clayton Tune       , QB      , ARI , @ MIA   ,         0,        0,          0,       0,        0,        0,          0,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,    9, Clayton Tune       , QB      , ARI , vs CHI  ,         0,        0,          0,       0,        0,        0,          0,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,   10, Clayton Tune       , QB      , ARI , vs NYJ  ,         0,        0,          0,       0,        1,        0,          0,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,   11, Clayton Tune       , QB      , ARI , -       ,         0,        0,          0,       0,        0,        0,          0,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,   12, Clayton Tune       , QB      , ARI , @ SEA   ,         0,        0,          0,       0,        0,        0,          0,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,   13, Clayton Tune       , QB      , ARI , @ MIN   ,         0,        0,          0,       0,        0,        0,          0,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,   14, Clayton Tune       , QB      , ARI , vs SEA  ,         0,        0,          0,       0,        0,        0,          0,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,   15, Clayton Tune       , QB      , ARI , vs NE   ,         0,        0,          8,       0,        1,        0,          0,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,   16, Clayton Tune       , QB      , ARI , @ CAR   ,         0,        0,          0,       0,        0,        0,          0,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,   17, Clayton Tune       , QB      , ARI , @ LAR   ,         0,        0,          0,       0,        0,        0,          0,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,   18, Clayton Tune       , QB      , ARI , vs SF   ,         0,        0,          0,       0,        1,        0,          0,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,    1, Trey Benson        , RB      , ARI , @ BUF   ,         0,        0,          0,       0,        0,        3,         13,       1,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,    2, Trey Benson        , RB      , ARI , vs LAR  ,         0,        0,          0,       0,        0,       11,         10,       1,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,    3, Trey Benson        , RB      , ARI , vs DET  ,         0,        0,          0,       0,        0,        2,          8,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,    4, Trey Benson        , RB      , ARI , vs WAS  ,         0,        0,          0,       0,        0,        9,         50,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,    5, Trey Benson        , RB      , ARI , @ SF    ,         0,        0,          0,       0,        0,        0,          0,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,    6, Trey Benson        , RB      , ARI , @ GB    ,         0,        0,          0,       0,        0,        5,         26,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,    7, Trey Benson        , RB      , ARI , vs LAC  ,         0,        0,          0,       0,        0,        0,          0,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,    8, Trey Benson        , RB      , ARI , @ MIA   ,         0,        0,          0,       0,        0,        1,         10,       0,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,    9, Trey Benson        , RB      , ARI , vs CHI  ,         0,        0,          0,       0,        0,        8,         37,      11,           0,         0,         0,      0,           ,            ,          ,               , 
  2024,   10, Trey Benson        , RB      , ARI , vs NYJ  ,         0,        0,          0,       0,        0,       10,         62,       2,           0,         0,         0,      0,           ,            ,          ,               , 
