name,week,team,cmp,att,pyd,ptd,int,rsh,rshyd,rshtd
Josh Allen,1,BUF,18,23,232,2,0,9,39,2
Matthew Stafford,2,LAR,19,27,216,0,0,0,0,0
Jared Goff,3,DET,18,23,199,2,1,3,6,0
Jayden Daniels,4,WAS,26,30,233,1,1,8,47,1
Brock Purdy,5,SF,19,35,244,1,2,4,33,0
Jordan Love,6,GB,22,32,258,4,1,5,13,0
Justin Herbert,7,LAC,27,39,349,0,0,2,8,0
Tua Tagovailoa,8,MIA,28,38,234,1,0,3,13,0
Caleb Williams,9,CHI,22,41,217,0,0,4,5,0
Aaron Rodgers,10,NYJ,22,35,151,0,0,0,0,0
Geno Smith,12,SEA,22,31,254,1,1,3,2,0
Sam Darnold,13,MIN,21,31,235,2,0,4,22,0
Geno Smith,14,SEA,24,30,233,1,0,1,0,0
Drake Maye,15,NE,19,23,202,1,1,4,14,1
Bryce Young,16,CAR,17,26,158,2,0,5,68,1
Matthew Stafford,17,LAR,17,32,189,0,0,6,16,0
Joshua Dobbs,18,SF,29,43,326,2,2,8,17,1
