name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
James Cook,1,BUF,19,71,0,3,3,32,0
Ray Davis,1,BUF,3,13,0,1,1,14,0
Ty Johnson,1,BUF,2,7,0,1,0,0,0
Blake Corum,2,LAR,8,28,0,0,0,0,0
Ronnie Rivers,2,LAR,0,0,0,1,1,0,0
Kyren Williams,2,LAR,12,25,1,5,4,27,0
Jahmyr Gibbs,3,DET,16,83,0,0,0,20,1
David Montgomery,3,DET,23,105,1,3,3,17,0
Jeremy McNichols,4,WAS,8,68,2,1,1,6,0
Brian Robinson Jr.,4,WAS,21,101,1,3,3,12,0
Isaac Guerendo,5,SF,5,22,0,0,0,0,0
Jordan Mason,5,SF,14,89,0,1,1,9,0
Chris Brooks,6,GB,4,21,0,0,0,0,0
Josh Jacobs,6,GB,18,62,0,3,3,28,0
Emanuel Wilson,6,GB,7,54,0,2,1,19,0
J.K. Dobbins,7,LAC,14,40,0,3,3,26,0
Hassan Haskins,7,LAC,2,2,0,0,0,0,0
Kimani Vidal,7,LAC,3,10,0,1,1,9,0
De'Von Achane,8,MIA,10,97,0,8,6,50,1
Alec Ingold,8,MIA,1,3,0,3,3,19,0
Raheem Mostert,8,MIA,9,19,2,2,1,11,0
Jaylen Wright,8,MIA,2,18,0,0,0,0,0
Roschon Johnson,9,CHI,3,13,0,3,2,8,0
D'Andre Swift,9,CHI,16,51,0,6,6,31,0
Braelon Allen,10,NYJ,7,27,0,1,1,7,0
Isaiah Davis,10,NYJ,0,0,0,1,1,10,0
Breece Hall,10,NYJ,10,52,0,4,4,31,0
Zach Charbonnet,12,SEA,6,22,0,0,0,0,0
Kenneth Walker III,12,SEA,16,41,0,6,4,52,0
Cam Akers,13,MIN,4,22,0,0,0,0,0
Ty Chandler,13,MIN,2,2,0,0,0,0,0
Aaron Jones,13,MIN,5,22,0,4,3,6,1
Zach Charbonnet,14,SEA,22,134,2,7,7,59,0
George Holani,14,SEA,0,0,0,1,1,-1,0
Kenny McIntosh,14,SEA,7,38,0,2,2,7,0
Antonio Gibson,15,NE,7,33,0,2,2,31,0
Rhamondre Stevenson,15,NE,13,69,0,1,1,16,0
Raheem Blackshear,16,CAR,3,13,0,0,0,0,0
Mike Boone,16,CAR,1,1,0,0,0,0,0
Chuba Hubbard,16,CAR,25,152,2,5,4,13,0
Blake Corum,17,LAR,3,-4,0,0,0,0,0
Kyren Williams,17,LAR,13,56,1,3,3,16,0
Isaac Guerendo,18,SF,2,5,0,0,0,0,0
Kyle Juszczyk,18,SF,0,0,0,3,2,49,1
Patrick Taylor Jr.,18,SF,17,109,0,4,1,12,0
