name,week,team,targ,rec,recyd,rectd
Dalton Kincaid,1,BUF,2,1,11,0
Dawson Knox,1,BUF,2,1,23,0
Colby Parkinson,2,LAR,2,1,12,0
Sam LaPorta,3,DET,2,2,36,0
Brock Wright,3,DET,5,4,34,0
John Bates,4,WAS,1,1,9,0
Zach Ertz,4,WAS,3,3,22,0
George Kittle,5,SF,12,8,64,1
Andrew Beck,6,GB,1,0,0,0
Tucker Kraft,6,GB,4,2,13,0
Ben Sims,6,GB,2,2,38,0
Will Dissly,7,LAC,11,8,81,0
Stone Smartt,7,LAC,2,1,31,0
Eric Tomlinson,7,LAC,1,1,7,0
Julian Hill,8,MIA,3,3,11,0
Jonnu Smith,8,MIA,6,4,20,0
Gerald Everett,9,CHI,1,1,5,0
Tyler Conklin,10,NYJ,2,1,8,0
Jeremy Ruckert,10,NYJ,2,2,17,0
Kenny Yeboah,10,NYJ,1,1,4,0
AJ Barner,12,SEA,4,3,19,0
Pharaoh Brown,12,SEA,2,2,19,0
T.J. Hockenson,13,MIN,6,3,28,0
Johnny Mundt,13,MIN,2,2,22,1
AJ Barner,14,SEA,1,1,13,0
Pharaoh Brown,14,SEA,2,1,6,0
Noah Fant,14,SEA,4,3,18,0
Hunter Henry,15,NE,4,4,25,0
Austin Hooper,15,NE,3,3,38,0
Tommy Tremble,16,CAR,3,3,32,0
Davis Allen,17,LAR,1,0,0,0
Tyler Higbee,17,LAR,3,2,9,0
Colby Parkinson,17,LAR,1,0,0,0
George Kittle,18,SF,3,2,27,0
Eric Saubert,18,SF,5,4,17,0
Brayden Willis,18,SF,2,0,0,0
