name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Keon Coleman,1,BUF,0,0,0,5,4,51,0
Mack Hollins,1,BUF,0,0,0,2,2,25,1
Curtis Samuel,1,BUF,0,0,0,2,2,15,0
Khalil Shakir,1,BUF,0,0,0,3,3,42,1
Marquez Valdes-Scantling,1,BUF,0,0,0,2,1,19,0
Tutu Atwell,2,LAR,0,0,0,4,3,48,0
Tyler Johnson,2,LAR,0,0,0,3,2,20,0
Cooper Kupp,2,LAR,0,0,0,6,4,37,0
Demarcus Robinson,2,LAR,0,0,0,4,2,50,0
Jordan Whittington,2,LAR,0,0,0,2,2,22,0
Tim Patrick,3,DET,0,0,0,1,1,8,0
Amon-Ra St. Brown,3,DET,0,0,0,8,7,75,1
Jameson Williams,3,DET,1,-7,0,3,1,9,0
Dyami Brown,4,WAS,0,0,0,1,1,4,0
Noah Brown,4,WAS,0,0,0,4,3,26,0
Luke McCaffrey,4,WAS,0,0,0,1,1,17,0
Terry McLaurin,4,WAS,0,0,0,10,7,52,1
Olamide Zaccheaus,4,WAS,0,0,0,6,6,85,0
Brandon Aiyuk,5,SF,0,0,0,12,8,147,0
Jauan Jennings,5,SF,0,0,0,4,1,13,0
Deebo Samuel Sr.,5,SF,3,9,0,3,1,11,0
Romeo Doubs,6,GB,0,0,0,4,3,49,2
Bo Melton,6,GB,2,27,0,2,1,6,0
Jayden Reed,6,GB,1,0,0,6,6,28,1
Christian Watson,6,GB,0,0,0,4,3,68,1
Dontayvion Wicks,6,GB,0,0,0,3,1,9,0
Simi Fehoko,7,LAC,0,0,0,6,3,45,0
Ladd McConkey,7,LAC,0,0,0,7,5,46,0
Joshua Palmer,7,LAC,0,0,0,5,4,63,0
Jalen Reagor,7,LAC,1,-1,0,1,1,41,0
Dee Eskridge,8,MIA,0,0,0,1,1,6,0
Tyreek Hill,8,MIA,0,0,0,9,6,72,0
Jaylen Waddle,8,MIA,0,0,0,6,4,45,0
Keenan Allen,9,CHI,0,0,0,10,4,36,0
DJ Moore,9,CHI,0,0,0,9,4,33,0
Rome Odunze,9,CHI,0,0,0,7,5,104,0
Davante Adams,10,NYJ,0,0,0,13,6,31,0
Malachi Corley,10,NYJ,0,0,0,2,1,2,0
Xavier Gipson,10,NYJ,0,0,0,1,0,0,0
Garrett Wilson,10,NYJ,0,0,0,6,5,41,0
Jake Bobo,12,SEA,0,0,0,1,1,8,0
Tyler Lockett,12,SEA,0,0,0,3,2,20,0
DK Metcalf,12,SEA,0,0,0,5,4,59,0
Jaxon Smith-Njigba,12,SEA,0,0,0,7,6,77,1
Jordan Addison,13,MIN,0,0,0,6,4,54,0
Justin Jefferson,13,MIN,0,0,0,9,7,99,0
Jalen Nailor,13,MIN,0,0,0,2,1,18,0
Brandon Powell,13,MIN,0,0,0,1,1,8,0
Tyler Lockett,14,SEA,0,0,0,1,0,0,0
DK Metcalf,14,SEA,0,0,0,6,4,49,0
Jaxon Smith-Njigba,14,SEA,1,4,0,5,5,82,1
Kendrick Bourne,15,NE,0,0,0,3,3,44,0
Kayshon Boutte,15,NE,0,0,0,5,2,19,0
DeMario Douglas,15,NE,0,0,0,3,3,11,1
Ja'Lynn Polk,15,NE,0,0,0,1,0,0,0
Dan Chisena,16,CAR,0,0,0,2,1,23,0
Jalen Coker,16,CAR,0,0,0,5,2,8,0
David Moore,16,CAR,1,0,0,3,2,39,1
Adam Thielen,16,CAR,0,0,0,6,5,43,1
Deven Thompkins,16,CAR,1,9,0,0,0,0,0
Cooper Kupp,17,LAR,0,0,0,3,1,29,0
Puka Nacua,17,LAR,0,0,0,14,10,129,0
Demarcus Robinson,17,LAR,0,0,0,2,0,0,0
Jordan Whittington,17,LAR,0,0,0,1,1,6,0
Chris Conley,18,SF,0,0,0,4,4,59,0
Jacob Cowing,18,SF,1,7,0,2,2,30,0
Jauan Jennings,18,SF,0,0,0,10,7,52,0
Ricky Pearsall,18,SF,0,0,0,8,6,69,1
Trent Taylor,18,SF,0,0,0,1,1,11,0
