name           , week, team, cmp, att, pyd, ptd, int, rsh, rshyd, rshtd
Justin Fields  ,    1, PIT ,  17,  23, 156,   0,   0,  14, 57   ,     0
Jalen Hurts    ,    2, PHI ,  23,  30, 183,   1,   1,  13, 85   ,     1
Patrick Mahomes,    3, KC  ,  26,  39, 217,   2,   1,   6, 17   ,     0
Derek Carr     ,    4, NO  ,  28,  36, 239,   0,   1,   3, 5    ,     0
Baker Mayfield ,    5, TB  ,  19,  24, 180,   3,   0,   6, 42   ,     0
Andy Dalton    ,    6, CAR ,  26,  38, 221,   2,   2,   3, 21   ,     0
Geno Smith     ,    7, SEA ,  18,  28, 207,   2,   0,   4, 15   ,     0
Baker Mayfield ,    8, TB  ,  37,  50, 330,   3,   2,   3, 11   ,     0
Dak Prescott   ,    9, DAL ,  18,  24, 133,   1,   0,   3, 30   ,     0
Cooper Rush    ,    9, DAL ,  13,  25, 115,   1,   0,   1, 4    ,     0
Derek Carr     ,   10, NO  ,  16,  25, 269,   2,   0,   4, 17   ,     0
Bo Nix         ,   11, DEN ,  28,  33, 307,   4,   0,   2, 5    ,     0
Justin Herbert ,   13, LAC ,  16,  23, 147,   0,   0,   5, 1    ,     0
Sam Darnold    ,   14, MIN ,  22,  28, 347,   5,   0,   4, 7    ,     0
Nick Mullens   ,   14, MIN ,   0,   0,   0,   0,   0,   2, -2   ,     0
Desmond Ridder ,   15, LV  ,  23,  39, 208,   1,   2,   5, 28   ,     0
Drew Lock      ,   16, NYG ,  22,  39, 210,   1,   2,   1, 1    ,     0
Jayden Daniels ,   17, WAS ,  24,  36, 227,   3,   1,  16, 127  ,     0
Bryce Young    ,   18, CAR ,  25,  34, 251,   3,   0,   5, 24   ,     2
