name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Najee Harris,1,PIT,20,70,0,2,1,9,0
Cordarrelle Patterson,1,PIT,4,13,0,0,0,0,0
Jaylen Warren,1,PIT,2,7,0,2,2,13,0
Saquon Barkley,2,PHI,22,95,0,5,4,21,0
Kenneth Gainwell,2,PHI,2,6,0,0,0,0,0
Samaje Perine,3,KC,6,25,0,4,3,15,0
Carson Steele,3,KC,17,72,0,2,1,2,0
Alvin Kamara,4,NO,19,77,1,9,7,42,0
Jamaal Williams,4,NO,3,11,0,2,2,8,0
Bucky Irving,5,TB,9,44,0,2,2,12,0
Rachaad White,5,TB,10,72,0,3,3,-6,0
Chuba Hubbard,6,CAR,18,92,0,6,5,11,0
Miles Sanders,6,CAR,3,1,0,1,1,12,0
Zach Charbonnet,7,SEA,8,19,0,1,1,-5,0
Kenny McIntosh,7,SEA,1,5,0,0,0,0,0
Kenneth Walker III,7,SEA,14,69,1,2,2,24,1
Bucky Irving,8,TB,9,44,0,7,7,40,0
Sean Tucker,8,TB,2,3,0,1,1,12,0
Rachaad White,8,TB,6,29,0,6,5,38,1
Dalvin Cook,9,DAL,2,8,0,0,0,0,0
Rico Dowdle,9,DAL,12,75,0,6,5,32,1
Hunter Luepke,9,DAL,1,5,0,2,2,4,0
Alvin Kamara,10,NO,17,55,0,6,5,54,0
Jordan Mims,10,NO,2,10,0,2,1,4,0
Michael Burton,11,DEN,2,2,0,1,1,-2,0
Audric Estime,11,DEN,6,16,0,3,3,9,0
Jaleel McLaughlin,11,DEN,4,19,0,0,0,0,0
Javonte Williams,11,DEN,9,59,1,5,4,28,0
Gus Edwards,13,LAC,6,32,0,1,1,1,0
Hassan Haskins,13,LAC,1,0,0,0,0,0,0
Kimani Vidal,13,LAC,4,20,0,0,0,0,0
Cam Akers,14,MIN,5,37,0,0,0,0,0
Aaron Jones,14,MIN,13,73,1,2,2,11,0
Ameer Abdullah,15,LV,3,8,0,7,7,58,1
Alexander Mattison,15,LV,7,21,0,4,2,3,0
Sincere McCormick,15,LV,7,8,0,2,2,17,0
Eric Gray,16,NYG,0,0,0,1,1,2,0
Devin Singletary,16,NYG,4,12,0,0,0,0,0
Tyrone Tracy Jr.,16,NYG,7,26,0,4,4,43,1
Jeremy McNichols,17,WAS,1,5,0,3,2,5,0
Brian Robinson Jr.,17,WAS,13,60,0,2,2,9,0
Chris Rodriguez Jr.,17,WAS,5,16,1,1,1,12,0
Raheem Blackshear,18,CAR,4,47,0,0,0,0,0
Mike Boone,18,CAR,4,18,0,1,1,-2,0
Miles Sanders,18,CAR,17,66,1,4,3,50,1
