name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Calvin Austin III,1,PIT,0,0,0,2,1,7,0
Van Jefferson,1,PIT,0,0,0,2,1,1,0
George Pickens,1,PIT,1,-10,0,7,6,85,0
Britain Covey,2,PHI,0,0,0,6,6,23,0
Jahan Dotson,2,PHI,0,0,0,1,1,6,0
DeVonta Smith,2,PHI,0,0,0,10,7,76,1
Johnny Wilson,2,PHI,0,0,0,1,0,0,0
Rashee Rice,3,KC,1,1,0,14,12,110,1
JuJu Smith-Schuster,3,KC,0,0,0,3,2,17,1
Justin Watson,3,KC,0,0,0,2,1,13,0
Xavier Worthy,3,KC,3,13,0,4,2,17,0
Chris Olave,4,NO,0,0,0,10,8,87,0
Rashid Shaheed,4,NO,2,14,0,11,8,83,0
Mason Tipton,4,NO,0,0,0,1,1,6,0
Mike Evans,5,TB,0,0,0,7,5,62,2
Chris Godwin,5,TB,1,2,0,6,5,64,0
Sterling Shepard,5,TB,0,0,0,2,1,4,1
Jalen Coker,6,CAR,0,0,0,3,3,30,0
Diontae Johnson,6,CAR,0,0,0,10,6,78,1
Xavier Legette,6,CAR,0,0,0,4,3,23,1
Jonathan Mingo,6,CAR,0,0,0,1,1,1,0
David Moore,6,CAR,0,0,0,2,2,17,0
Jake Bobo,7,SEA,0,0,0,1,0,0,0
Tyler Lockett,7,SEA,0,0,0,6,4,45,0
DK Metcalf,7,SEA,0,0,0,7,4,99,1
Jaxon Smith-Njigba,7,SEA,0,0,0,6,3,9,0
Rakim Jarrett,8,TB,0,0,0,3,3,58,0
Jalen McMillan,8,TB,1,17,0,7,4,35,0
Trey Palmer,8,TB,0,0,0,2,2,29,0
Sterling Shepard,8,TB,0,0,0,5,3,18,0
Jalen Brooks,9,DAL,0,0,0,5,2,26,0
Ryan Flournoy,9,DAL,0,0,0,2,1,13,0
CeeDee Lamb,9,DAL,2,15,0,12,8,47,0
Jalen Tolbert,9,DAL,0,0,0,6,3,19,1
KaVontae Turpin,9,DAL,0,0,0,4,3,36,0
Kevin Austin Jr.,10,NO,0,0,0,2,2,36,0
Dante Pettis,10,NO,0,0,0,1,1,8,0
Marquez Valdes-Scantling,10,NO,0,0,0,3,3,109,2
Troy Franklin,11,DEN,0,0,0,2,2,15,1
Lil'Jordan Humphrey,11,DEN,0,0,0,4,4,52,1
Marvin Mims Jr.,11,DEN,3,4,0,2,2,49,1
Courtland Sutton,11,DEN,0,0,0,8,7,78,0
Devaughn Vele,11,DEN,0,0,0,5,4,66,0
Derius Davis,13,LAC,1,3,0,1,1,3,0
Quentin Johnston,13,LAC,0,0,0,4,2,12,0
Ladd McConkey,13,LAC,0,0,0,12,9,117,0
Joshua Palmer,13,LAC,0,0,0,1,1,11,0
Jordan Addison,14,MIN,0,0,0,12,8,133,3
Justin Jefferson,14,MIN,0,0,0,7,7,132,2
Terrace Marshall Jr.,15,LV,0,0,0,1,1,7,0
Jakobi Meyers,15,LV,0,0,0,9,5,59,0
Tre Tucker,15,LV,0,0,0,3,2,18,0
Jalin Hyatt,16,NYG,0,0,0,2,1,9,0
Malik Nabers,16,NYG,0,0,0,14,7,68,0
Wan'Dale Robinson,16,NYG,0,0,0,12,7,62,0
Darius Slayton,16,NYG,1,6,0,2,1,21,0
Jamison Crowder,17,WAS,0,0,0,5,3,25,0
Terry McLaurin,17,WAS,0,0,0,7,1,5,0
Olamide Zaccheaus,17,WAS,1,8,0,9,8,85,1
Jalen Coker,18,CAR,0,0,0,7,7,62,0
Xavier Legette,18,CAR,0,0,0,5,3,30,0
David Moore,18,CAR,0,0,0,3,1,9,1
Adam Thielen,18,CAR,0,0,0,6,5,44,0
