name,week,team,cmp,att,pyd,ptd,int,rsh,rshyd,rshtd
Patrick Mahomes,1,KC,20,28,291,1,1,2,3,0
Gardner Minshew II,2,LV,30,38,276,1,1,1,-1,0
Dak Prescott,3,DAL,28,51,379,2,0,2,7,1
Josh Allen,4,BUF,16,29,180,0,0,5,21,0
Mitchell Trubisky,4,BUF,1,2,2,0,0,0,0,0
Joe Burrow,5,CIN,30,39,392,5,1,2,1,0
Jayden Daniels,6,WAS,24,35,269,2,0,6,22,0
Baker Mayfield,7,TB,31,45,370,3,2,5,22,0
Jameis Winston,8,CLE,27,41,334,3,0,2,2,0
Bo Nix,9,DEN,19,33,223,0,1,6,36,0
Joe Burrow,10,CIN,34,56,428,4,0,2,6,0
Justin Fields,11,PIT,0,0,0,0,0,2,17,0
Russell Wilson,11,PIT,23,36,205,0,1,4,1,0
Justin Herbert,12,LAC,21,36,218,0,0,4,29,1
Jalen Hurts,13,PHI,11,19,118,1,0,9,29,1
Tim Boyle,15,NYG,12,24,123,1,1,1,-1,0
Tommy DeVito,15,NYG,10,13,68,0,0,1,0,0
Russell Wilson,16,PIT,22,33,217,2,1,3,27,0
Davis Mills,17,HOU,1,1,5,0,0,0,0,0
C.J. Stroud,17,HOU,17,31,185,0,1,1,7,0
Dorian Thompson-Robinson,18,CLE,2,3,13,0,0,2,3,0
Bailey Zappe,18,CLE,16,31,170,1,2,2,2,0
Russell Wilson,19,PIT,20,29,270,2,0,3,6,0
Josh Allen,20,BUF,16,22,127,0,0,10,20,2
