name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Isiah Pacheco,1,KC,15,45,1,3,2,33,0
Samaje Perine,1,KC,0,0,0,2,1,10,0
Carson Steele,1,KC,2,3,0,0,0,0,0
Ameer Abdullah,2,LV,2,1,0,2,2,1,0
Alexander Mattison,2,LV,4,1,1,0,0,0,0
Zamir White,2,LV,9,24,0,4,3,14,0
Rico Dowdle,3,DAL,8,32,0,5,3,24,0
Ezekiel Elliott,3,DAL,3,6,0,2,1,6,0
Hunter Luepke,3,DAL,0,0,0,3,2,41,0
Deuce Vaughn,3,DAL,2,5,0,2,1,8,0
James Cook,4,BUF,9,39,0,1,1,9,0
Ray Davis,4,BUF,7,11,0,0,0,0,0
Ty Johnson,4,BUF,1,3,1,0,0,0,0
Chase Brown,5,CIN,12,46,0,3,3,8,1
Zack Moss,5,CIN,9,24,0,4,3,28,0
Austin Ekeler,6,WAS,9,21,0,5,4,47,0
Jeremy McNichols,6,WAS,2,9,0,0,0,0,0
Bucky Irving,7,TB,9,23,1,3,3,54,0
Sean Tucker,7,TB,5,29,0,2,1,9,0
Rachaad White,7,TB,10,40,0,6,6,71,2
Nick Chubb,8,CLE,16,52,0,2,0,0,0
D'Onta Foreman,8,CLE,5,26,0,0,0,0,0
Pierre Strong Jr.,8,CLE,0,0,0,1,1,3,0
Michael Burton,9,DEN,2,-1,0,0,0,0,0
Audric Estime,9,DEN,5,35,0,0,0,0,0
Jaleel McLaughlin,9,DEN,5,10,0,3,3,10,0
Javonte Williams,9,DEN,12,42,0,3,2,42,0
Chase Brown,10,CIN,13,42,1,11,9,52,0
Najee Harris,11,PIT,18,63,0,5,4,30,0
Cordarrelle Patterson,11,PIT,1,0,0,1,1,0,0
Jaylen Warren,11,PIT,9,41,0,4,4,27,0
J.K. Dobbins,12,LAC,6,40,0,5,3,19,0
Gus Edwards,12,LAC,9,11,1,1,0,0,0
Hassan Haskins,12,LAC,1,3,0,0,0,0,0
Saquon Barkley,13,PHI,23,107,1,4,2,10,0
Will Shipley,13,PHI,1,4,0,0,0,0,0
Devin Singletary,15,NYG,8,25,1,3,3,16,0
Tyrone Tracy Jr.,15,NYG,10,31,0,4,1,4,0
Najee Harris,16,PIT,9,42,0,1,0,0,0
Cordarrelle Patterson,16,PIT,0,0,0,1,1,12,1
Jaylen Warren,16,PIT,12,48,0,5,5,44,0
Joe Mixon,17,HOU,9,26,0,3,2,13,0
Dare Ogunbowale,17,HOU,2,12,0,1,1,6,0
Dameon Pierce,17,HOU,5,13,0,0,0,0,0
D'Onta Foreman,18,CLE,10,27,0,1,1,8,0
Jacob Kibodi,18,CLE,5,24,0,3,1,15,0
Najee Harris,19,PIT,6,17,0,3,3,41,0
Jaylen Warren,19,PIT,2,6,0,5,4,19,0
James Cook,20,BUF,17,67,0,3,3,15,0
Ray Davis,20,BUF,4,29,1,0,0,0,0
Ty Johnson,20,BUF,5,31,0,1,1,8,0
