name,week,team,targ,rec,recyd,rectd
Noah Gray,1,KC,3,3,37,0
Travis Kelce,1,KC,4,3,34,0
Brock Bowers,2,LV,9,9,98,0
Harrison Bryant,2,LV,1,0,0,0
Michael Mayer,2,LV,1,1,11,0
Jake Ferguson,3,DAL,11,6,95,0
Luke Schoonmaker,3,DAL,2,1,5,0
Dalton Kincaid,4,BUF,7,5,47,0
Dawson Knox,4,BUF,1,1,0,0
Erick All Jr.,5,CIN,2,2,10,0
Mike Gesicki,5,CIN,2,2,31,0
Zach Ertz,6,WAS,5,4,68,0
Cade Otton,7,TB,10,8,100,0
Jordan Akins,8,CLE,1,0,0,0
David Njoku,8,CLE,7,5,61,1
Geoff Swaim,8,CLE,1,1,7,0
Lucas Krull,9,DEN,1,0,0,0
Adam Trautman,9,DEN,1,1,4,0
Mike Gesicki,10,CIN,9,4,30,0
Cam Grandy,10,CIN,1,1,0,0
Tanner Hudson,10,CIN,7,6,42,1
Pat Freiermuth,11,PIT,2,2,14,0
Darnell Washington,11,PIT,4,2,42,0
Will Dissly,12,LAC,4,4,47,0
Tucker Fisk,12,LAC,1,1,7,0
Dallas Goedert,13,PHI,4,3,35,1
Daniel Bellinger,15,NYG,3,3,35,0
Pat Freiermuth,16,PIT,3,3,16,0
Connor Heyward,16,PIT,1,1,3,0
MyCole Pruitt,16,PIT,2,1,1,1
Dalton Schultz,17,HOU,6,2,21,0
Cade Stover,17,HOU,1,1,1,0
Jordan Akins,18,CLE,8,6,60,1
Brenden Bates,18,CLE,1,0,0,0
Blake Whiteheart,18,CLE,1,1,1,0
Pat Freiermuth,19,PIT,4,3,15,0
Darnell Washington,19,PIT,3,1,9,0
Dalton Kincaid,20,BUF,2,1,11,0
Dawson Knox,20,BUF,2,1,0,0
