name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Rashee Rice,1,KC,0,0,0,9,7,103,0
JuJu Smith-Schuster,1,KC,0,0,0,1,0,0,0
Justin Watson,1,KC,0,0,0,1,1,25,0
Xavier Worthy,1,KC,1,21,1,3,2,47,1
Davante Adams,2,LV,0,0,0,12,9,110,1
Jakobi Meyers,2,LV,0,0,0,5,4,29,0
Tre Tucker,2,LV,0,0,0,2,2,13,0
DJ Turner,2,LV,1,2,0,0,0,0,0
Jalen Brooks,3,DAL,0,0,0,3,1,24,0
Brandin Cooks,3,DAL,0,0,0,6,2,16,0
CeeDee Lamb,3,DAL,0,0,0,7,4,67,0
Jalen Tolbert,3,DAL,0,0,0,5,3,42,1
KaVontae Turpin,3,DAL,1,1,0,3,3,51,1
Keon Coleman,4,BUF,0,0,0,4,3,51,0
Mack Hollins,4,BUF,0,0,0,6,1,5,0
Curtis Samuel,4,BUF,1,7,0,2,2,8,0
Khalil Shakir,4,BUF,0,0,0,5,4,62,0
Marquez Valdes-Scantling,4,BUF,0,0,0,1,0,0,0
Ja'Marr Chase,5,CIN,0,0,0,12,10,193,2
Tee Higgins,5,CIN,0,0,0,14,9,83,2
Andrei Iosivas,5,CIN,0,0,0,2,1,39,0
Dyami Brown,6,WAS,0,0,0,1,1,11,0
Noah Brown,6,WAS,0,0,0,8,4,58,0
Luke McCaffrey,6,WAS,0,0,0,1,1,5,0
Terry McLaurin,6,WAS,1,0,0,7,6,53,2
Olamide Zaccheaus,6,WAS,0,0,0,6,4,27,0
Mike Evans,7,TB,0,0,0,3,1,25,1
Chris Godwin,7,TB,0,0,0,9,7,65,0
Jalen McMillan,7,TB,1,11,0,8,3,15,0
Trey Palmer,7,TB,0,0,0,3,1,16,0
Sterling Shepard,7,TB,0,0,0,1,1,15,0
Jerry Jeudy,8,CLE,0,0,0,8,5,79,0
Elijah Moore,8,CLE,0,0,0,12,8,85,0
Cedric Tillman,8,CLE,0,0,0,9,7,99,2
Troy Franklin,9,DEN,0,0,0,4,1,19,0
Lil'Jordan Humphrey,9,DEN,0,0,0,5,2,11,0
Marvin Mims Jr.,9,DEN,0,0,0,2,1,4,0
Courtland Sutton,9,DEN,0,0,0,10,7,122,0
Devaughn Vele,9,DEN,0,0,0,3,2,11,0
Jermaine Burton,10,CIN,0,0,0,5,1,11,0
Ja'Marr Chase,10,CIN,0,0,0,17,11,264,3
Andrei Iosivas,10,CIN,0,0,0,4,2,29,0
Calvin Austin III,11,PIT,0,0,0,2,1,-1,0
Van Jefferson,11,PIT,0,0,0,1,0,0,0
George Pickens,11,PIT,0,0,0,12,8,89,0
Ben Skowronek,11,PIT,0,0,0,1,1,4,0
Derius Davis,12,LAC,0,0,0,2,2,4,0
Quentin Johnston,12,LAC,0,0,0,5,0,0,0
Ladd McConkey,12,LAC,0,0,0,6,6,83,0
Joshua Palmer,12,LAC,0,0,0,8,3,38,0
Jalen Reagor,12,LAC,0,0,0,4,2,20,0
A.J. Brown,13,PHI,0,0,0,6,5,66,0
Parris Campbell,13,PHI,0,0,0,1,0,0,0
Britain Covey,13,PHI,0,0,0,1,0,0,0
Jahan Dotson,13,PHI,0,0,0,1,1,7,0
Malik Nabers,15,NYG,0,0,0,14,10,82,1
Wan'Dale Robinson,15,NYG,0,0,0,9,4,38,0
Darius Slayton,15,NYG,0,0,0,1,1,16,0
Calvin Austin III,16,PIT,0,0,0,5,4,65,0
Van Jefferson,16,PIT,0,0,0,3,2,27,0
Ben Skowronek,16,PIT,0,0,0,2,2,25,0
Mike Williams,16,PIT,0,0,0,3,3,24,0
Nico Collins,17,HOU,0,0,0,6,3,59,0
Xavier Hutchinson,17,HOU,0,0,0,4,2,21,0
John Metchie III,17,HOU,0,0,0,8,5,48,0
Robert Woods,17,HOU,0,0,0,2,2,21,0
Jerry Jeudy,18,CLE,0,0,0,13,6,63,0
Elijah Moore,18,CLE,0,0,0,5,3,36,0
Jamari Thrash,18,CLE,0,0,0,1,0,0,0
Calvin Austin III,19,PIT,0,0,0,2,1,25,0
Van Jefferson,19,PIT,0,0,0,2,2,37,1
George Pickens,19,PIT,0,0,0,5,5,87,1
Mike Williams,19,PIT,0,0,0,2,1,37,0
Keon Coleman,20,BUF,0,0,0,1,1,5,0
Amari Cooper,20,BUF,0,0,0,1,0,0,0
Mack Hollins,20,BUF,0,0,0,2,1,12,0
Curtis Samuel,20,BUF,0,0,0,2,2,9,0
Khalil Shakir,20,BUF,0,0,0,7,6,67,0
