name,week,team,cmp,att,pyd,ptd,int,rsh,rshyd,rshtd
Kyler Murray,1,ARI,21,31,162,1,0,5,57,0
Tua Tagovailoa,2,MIA,17,25,145,1,3,2,17,0
Skylar Thompson,2,MIA,8,14,80,0,0,1,4,0
Mac Jones,3,JAX,5,8,22,0,0,0,0,0
Trevor Lawrence,3,JAX,21,38,178,1,1,2,3,0
Lamar Jackson,4,BAL,13,18,156,2,0,6,54,1
Josh Johnson,4,BAL,1,1,1,0,0,0,0,0
C.J. Stroud,5,HOU,28,38,331,1,1,3,27,0
Aaron Rodgers,6,NYJ,23,35,294,2,1,0,0,0
Mason Rudolph,7,TEN,25,40,215,1,1,5,13,0
Geno Smith,8,SEA,21,29,212,0,1,5,16,0
Tua Tagovailoa,9,MIA,25,28,231,2,0,2,3,0
Joe Flacco,10,IND,26,35,272,2,3,0,0,0
Patrick Mahomes,11,KC,23,33,196,3,2,0,0,0
Brock Purdy,13,SF,11,18,94,0,0,2,4,0
Matthew Stafford,14,LAR,23,30,320,2,0,0,0,0
Jared Goff,15,DET,38,59,494,5,0,2,13,0
Drake Maye,16,NE,22,36,261,2,1,6,30,0
Aaron Rodgers,17,NYJ,12,18,112,0,2,0,0,0
Tyrod Taylor,17,NYJ,11,14,83,2,0,2,6,0
Joe Milton III,18,NE,22,29,241,1,0,10,16,1
Bo Nix,19,DEN,13,22,144,1,0,4,43,0
Lamar Jackson,20,BAL,18,25,254,2,1,6,39,0
Patrick Mahomes,21,KC,18,26,245,1,0,11,43,2
