name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Trey Benson,1,ARI,3,13,0,1,1,5,0
James Conner,1,ARI,16,50,1,4,3,33,0
Emari Demercado,1,ARI,0,0,0,2,2,26,0
De'Von Achane,2,MIA,22,96,0,7,7,69,1
Alec Ingold,2,MIA,2,2,0,0,0,0,0
Jeff Wilson Jr.,2,MIA,0,0,0,2,2,12,0
Jaylen Wright,2,MIA,5,4,0,0,0,0,0
Tank Bigsby,3,JAX,2,9,0,0,0,0,0
Travis Etienne Jr.,3,JAX,11,68,0,6,4,17,0
D'Ernest Johnson,3,JAX,2,12,0,1,0,0,0
Derrick Henry,4,BAL,24,199,1,3,3,10,1
Justice Hill,4,BAL,4,18,0,6,6,78,1
Cam Akers,5,HOU,9,42,1,3,2,5,0
Dare Ogunbowale,5,HOU,15,30,0,7,6,57,0
Braelon Allen,6,NYJ,3,8,0,2,0,0,0
Breece Hall,6,NYJ,18,113,0,6,5,56,0
Julius Chestnut,7,TEN,3,15,0,1,1,9,0
Tony Pollard,7,TEN,16,61,0,6,2,4,0
Zach Charbonnet,8,SEA,3,4,1,4,3,20,0
Kenneth Walker III,8,SEA,9,12,0,5,4,33,0
De'Von Achane,9,MIA,12,63,1,8,8,58,1
Raheem Mostert,9,MIA,10,56,0,2,2,32,0
Jaylen Wright,9,MIA,6,18,0,0,0,0,0
Tyler Goodson,10,IND,0,0,0,3,2,9,1
Trey Sermon,10,IND,0,0,0,1,1,4,0
Jonathan Taylor,10,IND,21,114,0,4,2,8,0
Kareem Hunt,11,KC,14,60,0,0,0,0,0
Samaje Perine,11,KC,0,0,0,4,2,8,0
Carson Steele,11,KC,1,2,0,1,1,5,0
Isaac Guerendo,13,SF,4,19,1,1,1,-3,0
Kyle Juszczyk,13,SF,1,-1,0,0,0,0,0
Jordan Mason,13,SF,13,78,0,0,0,0,0
Christian McCaffrey,13,SF,7,53,0,3,2,14,0
Blake Corum,14,LAR,8,34,0,0,0,0,0
Kyren Williams,14,LAR,29,87,2,2,2,10,0
Jahmyr Gibbs,15,DET,8,31,1,7,5,83,1
David Montgomery,15,DET,5,4,0,4,4,31,0
Antonio Gibson,16,NE,10,28,0,2,2,8,0
Rhamondre Stevenson,16,NE,12,60,1,1,1,13,0
Braelon Allen,17,NYJ,6,26,0,0,0,0,0
Isaiah Davis,17,NYJ,3,35,0,1,1,8,0
Breece Hall,17,NYJ,10,45,0,1,1,8,0
Antonio Gibson,18,NE,12,41,0,6,4,20,0
Terrell Jennings,18,NE,8,20,0,1,0,0,0
Tyler Badie,19,DEN,2,8,0,0,0,0,0
Jaleel McLaughlin,19,DEN,2,-2,0,1,1,0,0
Javonte Williams,19,DEN,7,29,0,2,2,14,0
Derrick Henry,20,BAL,16,84,1,2,0,0,0
Justice Hill,20,BAL,6,50,0,2,2,7,0
Kareem Hunt,21,KC,17,64,1,1,1,6,0
Isiah Pacheco,21,KC,5,12,0,2,2,12,0
Samaje Perine,21,KC,0,0,0,1,1,17,0
