name,week,team,targ,rec,recyd,rectd
Elijah Higgins,1,ARI,2,2,12,0
Trey McBride,1,ARI,9,5,30,0
Julian Hill,2,MIA,2,0,0,0
Jonnu Smith,2,MIA,7,6,53,0
Durham Smythe,2,MIA,1,1,8,0
Josiah Deguara,3,JAX,1,1,8,0
Luke Farrell,3,JAX,2,1,1,0
Brenton Strange,3,JAX,5,2,12,1
Mark Andrews,4,BAL,1,0,0,0
Isaiah Likely,4,BAL,2,1,26,0
Dalton Schultz,5,HOU,6,4,34,0
Cade Stover,5,HOU,2,2,6,0
Tyler Conklin,6,NYJ,3,2,10,0
Jeremy Ruckert,6,NYJ,3,2,7,0
Chig Okonkwo,7,TEN,4,4,50,0
Nick Vannett,7,TEN,4,4,25,0
Josh Whyle,7,TEN,4,3,34,0
AJ Barner,8,SEA,2,2,34,0
Noah Fant,8,SEA,4,3,22,0
Jonnu Smith,9,MIA,6,5,46,0
Durham Smythe,9,MIA,1,1,4,0
Kylen Granson,10,IND,2,2,15,0
Will Mallory,10,IND,1,1,10,0
Drew Ogletree,10,IND,1,1,2,0
Noah Gray,11,KC,5,4,23,2
Peyton Hendershot,11,KC,1,1,11,0
Travis Kelce,11,KC,4,2,8,0
George Kittle,13,SF,2,1,7,0
Hunter Long,14,LAR,1,0,0,0
Colby Parkinson,14,LAR,1,1,11,0
Sam LaPorta,15,DET,10,7,111,0
Hunter Henry,16,NE,9,4,39,1
Austin Hooper,16,NE,5,4,55,0
Tyler Conklin,17,NYJ,8,8,57,1
Kenny Yeboah,17,NYJ,2,0,0,0
Jaheim Bell,18,NE,1,1,19,0
Austin Hooper,18,NE,6,4,27,0
Lucas Krull,19,DEN,1,1,2,0
Adam Trautman,19,DEN,1,1,2,0
Mark Andrews,20,BAL,7,5,61,0
Isaiah Likely,20,BAL,5,4,73,1
Travis Kelce,21,KC,4,2,19,0
