name,week,team,cmp,att,pyd,ptd,int,rsh,rshyd,rshtd
Derek Carr,1,NO,19,23,200,3,0,2,13,0
Justin Herbert,2,LAC,14,20,130,2,1,6,18,0
Gardner Minshew II,3,LV,18,28,214,1,1,3,14,0
Aidan O'Connell,3,LV,9,12,82,1,0,0,0,0
Joe Burrow,4,CIN,22,31,232,2,1,1,10,0
Tyson Bagent,5,CHI,0,0,0,0,0,3,-4,0
Caleb Williams,5,CHI,20,29,304,2,0,5,34,0
Kirk Cousins,6,ATL,19,30,225,1,0,4,-5,0
Jayden Daniels,7,WAS,2,2,6,0,0,3,50,0
Marcus Mariota,7,WAS,18,23,205,2,0,11,34,0
Bo Nix,8,DEN,28,37,284,3,0,5,4,1
Derek Carr,9,NO,18,31,236,1,0,0,0,0
Daniel Jones,10,NYG,22,37,190,0,2,7,26,1
Patrick Mahomes,12,KC,27,37,269,3,0,5,60,0
Baker Mayfield,13,TB,21,33,235,1,2,3,8,0
Kyle Trask,13,TB,1,1,5,0,0,0,0,0
Jalen Hurts,14,PHI,14,21,108,2,0,8,59,1
Cooper Rush,15,DAL,18,29,214,3,0,4,5,0
Kyler Murray,16,ARI,20,32,202,1,1,8,63,1
Baker Mayfield,17,TB,27,32,359,5,0,1,2,0
Kyle Trask,17,TB,0,0,0,0,0,3,-2,0
Michael Penix Jr.,18,ATL,21,38,312,2,1,1,5,1
