name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Alvin Kamara,1,NO,15,83,1,5,5,27,0
Jordan Mims,1,NO,4,11,0,0,0,0,0
Jamaal Williams,1,NO,11,38,1,1,1,13,0
J.K. Dobbins,2,LAC,17,131,1,1,1,0,0
Gus Edwards,2,LAC,18,59,0,0,0,0,0
Hassan Haskins,2,LAC,3,11,0,0,0,0,0
Ameer Abdullah,3,LV,0,0,0,2,2,13,0
Alexander Mattison,3,LV,3,7,1,3,3,37,0
Zamir White,3,LV,10,34,0,0,0,0,0
Chase Brown,4,CIN,15,80,2,3,2,12,0
Zack Moss,4,CIN,15,51,0,4,4,27,1
Roschon Johnson,5,CHI,10,25,2,0,0,0,0
D'Andre Swift,5,CHI,21,73,1,2,2,47,0
Tyler Allgeier,6,ATL,18,105,1,1,1,3,0
Bijan Robinson,6,ATL,15,95,2,4,3,10,0
Austin Ekeler,7,WAS,4,17,0,2,2,3,0
Jeremy McNichols,7,WAS,7,42,0,0,0,0,0
Brian Robinson Jr.,7,WAS,12,71,1,0,0,0,0
Michael Burton,8,DEN,0,0,0,1,1,28,0
Audric Estime,8,DEN,1,4,0,0,0,0,0
Jaleel McLaughlin,8,DEN,8,47,0,1,1,9,1
Javonte Williams,8,DEN,17,44,0,5,4,8,0
Alvin Kamara,9,NO,29,155,0,9,6,60,0
Jordan Mims,9,NO,5,13,0,1,1,25,0
Adam Prentice,9,NO,0,0,0,1,0,0,0
Devin Singletary,10,NYG,8,40,0,1,1,5,0
Tyrone Tracy Jr.,10,NYG,18,103,1,2,1,1,0
Kareem Hunt,12,KC,16,68,0,4,3,19,0
Samaje Perine,12,KC,1,13,0,2,2,11,0
Carson Steele,12,KC,1,4,0,2,1,9,0
Bucky Irving,13,TB,25,152,1,3,3,33,0
Rachaad White,13,TB,11,76,0,1,1,2,0
Saquon Barkley,14,PHI,20,124,0,1,0,0,0
Kenneth Gainwell,14,PHI,3,26,0,2,2,7,0
Rico Dowdle,15,DAL,25,149,0,0,0,0,0
Ezekiel Elliott,15,DAL,9,30,0,1,1,11,0
Michael Carter,16,ARI,5,18,0,5,5,30,0
James Conner,16,ARI,15,117,1,4,4,49,0
DeeJay Dallas,16,ARI,0,0,0,1,1,1,1
Bucky Irving,17,TB,20,113,0,4,4,77,0
Sean Tucker,17,TB,8,39,0,1,1,5,0
Rachaad White,17,TB,6,30,0,1,1,4,0
Tyler Allgeier,18,ATL,9,52,0,2,2,17,0
Bijan Robinson,18,ATL,28,170,2,5,2,3,0
