name,week,team,targ,rec,recyd,rectd
Taysom Hill,1,NO,2,1,1,0
Juwan Johnson,1,NO,3,2,26,1
Foster Moreau,1,NO,4,4,43,1
Will Dissly,2,LAC,3,3,29,0
Hayden Hurst,2,LAC,2,1,5,0
Eric Tomlinson,2,LAC,1,0,0,0
Brock Bowers,3,LV,4,3,41,0
Michael Mayer,3,LV,3,1,7,0
Erick All Jr.,4,CIN,4,4,28,0
Mike Gesicki,4,CIN,1,1,-9,0
Drew Sample,4,CIN,1,1,0,0
Gerald Everett,5,CHI,2,2,22,0
Cole Kmet,5,CHI,4,3,57,0
Kyle Pitts,6,ATL,5,3,70,0
Zach Ertz,7,WAS,5,4,40,1
Ben Sinnott,7,WAS,2,2,6,1
Nate Adkins,8,DEN,1,1,3,1
Lucas Krull,8,DEN,2,2,18,0
Adam Trautman,8,DEN,4,4,85,1
Taysom Hill,9,NO,5,4,41,0
Juwan Johnson,9,NO,2,2,41,0
Foster Moreau,9,NO,2,1,17,1
Theo Johnson,10,NYG,6,4,37,0
Noah Gray,12,KC,4,4,66,2
Travis Kelce,12,KC,8,6,62,0
Cade Otton,13,TB,7,4,20,0
Grant Calcaterra,14,PHI,3,3,16,1
Jake Ferguson,15,DAL,4,2,23,0
Brevyn Spann-Ford,15,DAL,1,1,2,0
Elijah Higgins,16,ARI,1,0,0,0
Trey McBride,16,ARI,4,3,20,0
Devin Culp,17,TB,4,3,52,0
Payne Durham,17,TB,3,2,36,1
Ryan Miller,17,TB,4,2,26,0
Kyle Pitts,18,ATL,3,2,15,0
