name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Bub Means,1,NO,0,0,0,1,0,0,0
Chris Olave,1,NO,0,0,0,2,2,11,0
Rashid Shaheed,1,NO,0,0,0,5,3,73,1
Mason Tipton,1,NO,0,0,0,1,1,6,0
Quentin Johnston,2,LAC,0,0,0,6,5,51,2
Ladd McConkey,2,LAC,0,0,0,4,2,26,0
Joshua Palmer,2,LAC,0,0,0,2,2,19,0
Davante Adams,3,LV,0,0,0,9,4,40,0
Jakobi Meyers,3,LV,0,0,0,9,7,62,1
Tre Tucker,3,LV,0,0,0,9,7,96,1
Ja'Marr Chase,4,CIN,0,0,0,6,3,85,1
Tee Higgins,4,CIN,0,0,0,10,6,60,0
Andrei Iosivas,4,CIN,0,0,0,1,1,29,0
Keenan Allen,5,CHI,0,0,0,6,3,33,0
DJ Moore,5,CHI,0,0,0,8,5,105,2
Rome Odunze,5,CHI,0,0,0,6,5,40,0
Drake London,6,ATL,0,0,0,10,6,74,1
Ray-Ray McCloud III,6,ATL,1,3,0,4,3,30,0
Darnell Mooney,6,ATL,0,0,0,5,3,38,0
Dyami Brown,7,WAS,0,0,0,3,1,23,0
Noah Brown,7,WAS,0,0,0,1,1,16,0
Terry McLaurin,7,WAS,0,0,0,6,6,98,0
Olamide Zaccheaus,7,WAS,0,0,0,6,4,25,0
Troy Franklin,8,DEN,1,3,0,2,1,6,0
Lil'Jordan Humphrey,8,DEN,0,0,0,6,4,22,0
Marvin Mims Jr.,8,DEN,0,0,0,2,1,8,0
Courtland Sutton,8,DEN,0,0,0,11,8,100,0
Devaughn Vele,8,DEN,0,0,0,3,3,28,0
Jermaine Jackson,9,NO,1,-1,0,0,0,0,0
Chris Olave,9,NO,0,0,0,1,1,13,0
Mason Tipton,9,NO,0,0,0,3,0,0,0
Marquez Valdes-Scantling,9,NO,0,0,0,1,1,5,0
Cedrick Wilson Jr.,9,NO,0,0,0,3,2,34,0
Isaiah Hodgins,10,NYG,0,0,0,1,1,7,0
Jalin Hyatt,10,NYG,0,0,0,4,4,39,0
Malik Nabers,10,NYG,1,-2,0,10,6,50,0
Wan'Dale Robinson,10,NYG,0,0,0,8,5,51,0
Mecole Hardman,12,KC,2,15,0,0,0,0,0
DeAndre Hopkins,12,KC,0,0,0,6,5,35,1
JuJu Smith-Schuster,12,KC,0,0,0,2,1,6,0
Justin Watson,12,KC,0,0,0,2,1,15,0
Xavier Worthy,12,KC,1,5,0,6,4,46,0
Mike Evans,13,TB,0,0,0,12,8,118,1
Jalen McMillan,13,TB,0,0,0,3,2,25,0
Trey Palmer,13,TB,0,0,0,1,0,0,0
Sterling Shepard,13,TB,0,0,0,7,4,42,0
A.J. Brown,14,PHI,0,0,0,4,4,43,0
Jahan Dotson,14,PHI,0,0,0,2,1,5,0
DeVonta Smith,14,PHI,0,0,0,6,4,37,1
Johnny Wilson,14,PHI,0,0,0,1,0,0,0
Jalen Brooks,15,DAL,0,0,0,1,1,17,1
Brandin Cooks,15,DAL,0,0,0,5,3,34,0
CeeDee Lamb,15,DAL,0,0,0,13,9,116,1
Jalen Tolbert,15,DAL,0,0,0,2,1,11,1
KaVontae Turpin,15,DAL,2,27,0,1,0,0,0
Greg Dortch,16,ARI,1,8,0,1,1,19,0
Marvin Harrison Jr.,16,ARI,0,0,0,8,4,39,0
Michael Wilson,16,ARI,0,0,0,5,2,44,0
Mike Evans,17,TB,0,0,0,9,8,97,2
Rakim Jarrett,17,TB,0,0,0,1,1,11,0
Kameron Johnson,17,TB,1,11,0,0,0,0,0
Jalen McMillan,17,TB,1,9,0,5,5,51,2
KhaDarel Hodge,18,ATL,0,0,0,2,1,24,0
Drake London,18,ATL,0,0,0,18,10,187,2
Ray-Ray McCloud III,18,ATL,0,0,0,7,4,66,0
