name,week,team,cmp,att,pyd,ptd,int,rsh,rshyd,rshtd
Will Levis,1,TEN,19,32,127,1,2,4,36,0
C.J. Stroud,2,HOU,23,36,260,1,0,1,-1,0
Anthony Richardson,3,IND,10,20,167,0,2,8,24,0
Matthew Stafford,4,LAR,20,29,224,0,1,1,-1,0
Andy Dalton,5,CAR,18,28,136,0,1,1,3,0
Bryce Young,5,CAR,4,7,58,0,0,1,8,0
Mac Jones,6,JAX,1,1,6,0,0,0,0,0
Trevor Lawrence,6,JAX,23,35,234,2,1,4,17,0
Jayden Daniels,8,WAS,21,38,326,1,0,8,52,0
Kyler Murray,9,ARI,13,20,154,0,0,2,6,0
Drake Maye,10,NE,15,25,184,1,1,4,24,0
Jordan Love,11,GB,13,17,261,1,1,4,18,1
Sam Darnold,12,MIN,22,34,330,2,0,2,-1,0
Nick Mullens,12,MIN,1,1,14,0,0,0,0,0
Jared Goff,13,DET,21,34,221,2,0,1,1,0
Brock Purdy,14,SF,20,25,325,2,0,5,11,0
Sam Darnold,15,MIN,24,40,231,1,1,0,0,0
Jared Goff,16,DET,23,32,336,3,0,1,-1,0
Geno Smith,17,SEA,17,23,160,0,0,3,19,0
Jordan Love,18,GB,7,12,69,0,0,0,0,0
Malik Willis,18,GB,10,13,136,0,0,1,3,0
