name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Tony Pollard,1,TEN,16,82,1,4,3,12,0
Tyjae Spears,1,TEN,4,21,0,4,4,11,0
Cam Akers,2,HOU,7,32,0,1,1,3,0
Joe Mixon,2,HOU,9,25,0,5,3,25,0
Dare Ogunbowale,2,HOU,2,3,0,2,2,20,0
Trey Sermon,3,IND,2,16,1,0,0,0,0
Jonathan Taylor,3,IND,23,110,2,2,1,25,0
Ronnie Rivers,4,LAR,6,26,0,0,0,0,0
Kyren Williams,4,LAR,19,94,1,4,4,10,0
Chuba Hubbard,5,CAR,13,97,1,4,4,-2,0
Miles Sanders,5,CAR,2,6,0,3,2,27,0
Tank Bigsby,6,JAX,7,24,0,0,0,0,0
Travis Etienne Jr.,6,JAX,3,-1,0,1,0,0,0
D'Ernest Johnson,6,JAX,6,28,0,2,2,16,0
Austin Ekeler,8,WAS,7,52,0,3,2,6,0
Jeremy McNichols,8,WAS,1,-1,0,0,0,0,0
Brian Robinson Jr.,8,WAS,16,65,0,1,1,11,0
Trey Benson,9,ARI,8,37,1,1,1,18,0
James Conner,9,ARI,18,107,0,3,3,12,0
DeeJay Dallas,9,ARI,1,2,0,0,0,0,0
Emari Demercado,9,ARI,4,59,1,2,2,21,0
Antonio Gibson,10,NE,5,26,0,0,0,0,0
JaMycal Hasty,10,NE,6,20,0,1,1,4,0
Rhamondre Stevenson,10,NE,20,74,0,1,1,3,0
Chris Brooks,11,GB,0,0,0,2,2,13,0
Josh Jacobs,11,GB,18,76,1,5,4,58,0
Emanuel Wilson,11,GB,2,17,0,0,0,0,0
Cam Akers,12,MIN,3,19,0,1,1,6,0
C.J. Ham,12,MIN,0,0,0,1,0,0,0
Aaron Jones,12,MIN,22,106,1,4,3,23,0
Jahmyr Gibbs,13,DET,9,87,0,4,2,17,0
David Montgomery,13,DET,21,88,0,3,3,36,0
Isaac Guerendo,14,SF,15,78,2,2,2,50,0
Kyle Juszczyk,14,SF,0,0,0,2,1,3,0
Patrick Taylor Jr.,14,SF,7,25,1,1,0,0,0
Ke'Shawn Vaughn,14,SF,2,4,0,0,0,0,0
Cam Akers,15,MIN,10,24,1,0,0,0,0
Ty Chandler,15,MIN,1,4,0,0,0,0,0
Aaron Jones,15,MIN,18,86,1,3,2,20,0
Jahmyr Gibbs,16,DET,23,109,1,5,4,45,0
Jermar Jefferson,16,DET,3,13,0,1,1,10,0
Craig Reynolds,16,DET,4,18,0,1,1,5,0
Sione Vaki,16,DET,0,0,0,2,2,20,0
Zach Charbonnet,17,SEA,15,57,0,3,3,19,0
Kenny McIntosh,17,SEA,7,46,0,0,0,0,0
Chris Brooks,18,GB,8,59,0,1,0,0,0
Josh Jacobs,18,GB,6,44,1,1,1,2,0
Emanuel Wilson,18,GB,14,73,1,1,1,-2,0
