name,week,team,targ,rec,recyd,rectd
Chig Okonkwo,1,TEN,2,2,15,1
Nick Vannett,1,TEN,2,2,11,0
Brevin Jordan,2,HOU,1,1,4,0
Dalton Schultz,2,HOU,3,2,21,0
Cade Stover,2,HOU,1,1,18,0
Mo Alie-Cox,3,IND,1,0,0,0
Kylen Granson,3,IND,1,1,40,0
Colby Parkinson,4,LAR,7,4,33,0
Ja'Tavion Sanders,5,CAR,5,3,13,0
Tommy Tremble,5,CAR,2,1,7,0
Evan Engram,6,JAX,10,10,102,0
Brenton Strange,6,JAX,2,1,11,0
John Bates,8,WAS,2,1,20,0
Zach Ertz,8,WAS,11,7,77,0
Elijah Higgins,9,ARI,2,2,34,0
Trey McBride,9,ARI,4,3,35,0
Hunter Henry,10,NE,4,1,14,0
Austin Hooper,10,NE,4,3,64,0
Tucker Kraft,11,GB,1,0,0,0
T.J. Hockenson,12,MIN,9,7,114,0
Johnny Mundt,12,MIN,1,1,7,0
Sam LaPorta,13,DET,6,3,6,2
Brock Wright,13,DET,1,1,13,0
George Kittle,14,SF,6,6,151,0
Eric Saubert,14,SF,1,1,4,0
T.J. Hockenson,15,MIN,7,5,52,0
Johnny Mundt,15,MIN,1,0,0,0
Sam LaPorta,16,DET,7,4,43,1
Pharaoh Brown,17,SEA,1,1,4,0
Noah Fant,17,SEA,5,4,43,0
Tucker Kraft,18,GB,7,4,36,0
Luke Musgrave,18,GB,1,1,19,0
