name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Tyler Boyd,1,TEN,0,0,0,5,3,18,0
Treylon Burks,1,TEN,2,1,0,2,1,2,0
DeAndre Hopkins,1,TEN,0,0,0,1,1,8,0
Calvin Ridley,1,TEN,0,0,0,7,3,50,0
Nico Collins,2,HOU,0,0,0,10,8,135,1
Tank Dell,2,HOU,3,16,0,4,1,-3,0
Stefon Diggs,2,HOU,0,0,0,6,4,37,0
Xavier Hutchinson,2,HOU,0,0,0,1,0,0,0
Josh Downs,3,IND,0,0,0,5,3,22,0
Ashton Dulin,3,IND,0,0,0,1,0,0,0
Adonai Mitchell,3,IND,0,0,0,1,0,0,0
Alec Pierce,3,IND,0,0,0,2,1,44,0
Michael Pittman Jr.,3,IND,0,0,0,5,4,36,0
Tutu Atwell,4,LAR,0,0,0,6,4,82,0
Tyler Johnson,4,LAR,0,0,0,1,0,0,0
Demarcus Robinson,4,LAR,0,0,0,3,2,37,0
Jordan Whittington,4,LAR,0,0,0,8,6,62,0
Jalen Coker,5,CAR,0,0,0,4,4,68,0
Diontae Johnson,5,CAR,2,6,0,6,3,23,0
Xavier Legette,5,CAR,0,0,0,1,1,8,0
Jonathan Mingo,5,CAR,0,0,0,5,2,37,0
David Moore,5,CAR,0,0,0,3,2,13,0
Gabe Davis,6,JAX,0,0,0,8,5,45,2
Christian Kirk,6,JAX,0,0,0,6,3,39,0
Brian Thomas Jr.,6,JAX,0,0,0,6,3,27,0
Dyami Brown,8,WAS,0,0,0,1,1,6,0
Noah Brown,8,WAS,0,0,0,6,3,73,1
Luke McCaffrey,8,WAS,0,0,0,2,1,8,0
Terry McLaurin,8,WAS,0,0,0,8,5,125,0
Greg Dortch,9,ARI,0,0,0,1,0,0,0
Marvin Harrison Jr.,9,ARI,0,0,0,5,2,34,0
Michael Wilson,9,ARI,0,0,0,1,0,0,0
Kayshon Boutte,10,NE,0,0,0,6,4,47,0
DeMario Douglas,10,NE,0,0,0,5,4,50,0
K.J. Osborn,10,NE,0,0,0,1,0,0,0
Ja'Lynn Polk,10,NE,0,0,0,1,1,2,1
Romeo Doubs,11,GB,0,0,0,2,1,17,0
Jayden Reed,11,GB,1,-5,0,2,2,23,1
Christian Watson,11,GB,0,0,0,4,4,150,0
Dontayvion Wicks,11,GB,0,0,0,1,0,0,0
Jordan Addison,12,MIN,0,0,0,9,8,162,1
Justin Jefferson,12,MIN,0,0,0,5,2,27,0
Jalen Nailor,12,MIN,0,0,0,2,1,5,1
Tim Patrick,13,DET,0,0,0,3,2,48,0
Amon-Ra St. Brown,13,DET,0,0,0,7,5,73,0
Jameson Williams,13,DET,2,18,0,7,5,28,0
Jacob Cowing,14,SF,0,0,0,1,0,0,0
Jauan Jennings,14,SF,0,0,0,8,7,90,2
Ricky Pearsall,14,SF,0,0,0,2,1,5,0
Deebo Samuel Sr.,14,SF,5,13,0,3,2,22,0
Jordan Addison,15,MIN,0,0,0,9,7,63,0
Justin Jefferson,15,MIN,0,0,0,13,7,73,1
Jalen Nailor,15,MIN,0,0,0,2,1,5,0
Brandon Powell,15,MIN,0,0,0,1,1,12,0
Trent Sherfield Sr.,15,MIN,0,0,0,1,1,6,0
Tim Patrick,16,DET,0,0,0,1,0,0,0
Amon-Ra St. Brown,16,DET,0,0,0,8,6,70,1
Jameson Williams,16,DET,1,7,0,7,5,143,1
Tyler Lockett,17,SEA,0,0,0,4,3,20,0
DK Metcalf,17,SEA,0,0,0,3,3,42,0
Jaxon Smith-Njigba,17,SEA,0,0,0,6,3,32,0
Malik Heath,18,GB,0,0,0,5,3,53,0
Bo Melton,18,GB,1,1,0,0,0,0,0
Jayden Reed,18,GB,3,3,0,2,2,48,0
Christian Watson,18,GB,0,0,0,1,0,0,0
Dontayvion Wicks,18,GB,0,0,0,6,5,49,0
