name,week,team,cmp,att,pyd,ptd,int,rsh,rshyd,rshtd
Jacoby Brissett,1,NE,15,24,121,0,0,7,32,0
Patrick Mahomes,2,KC,18,25,151,2,2,4,29,0
Jayden Daniels,3,WAS,21,23,254,2,0,12,39,1
Andy Dalton,4,CAR,25,40,220,2,1,3,9,0
Lamar Jackson,5,BAL,26,42,348,4,0,12,55,0
Daniel Jones,6,NYG,22,41,205,0,1,11,56,0
Dorian Thompson-Robinson,7,CLE,11,24,82,0,2,3,44,0
Deshaun Watson,7,CLE,15,17,128,0,0,2,0,0
Jameis Winston,7,CLE,5,11,67,1,0,0,0,0
Jalen Hurts,8,PHI,16,20,236,1,0,10,37,3
Gardner Minshew II,9,LV,10,17,124,0,0,1,0,0
Desmond Ridder,9,LV,11,16,74,1,0,1,2,0
Lamar Jackson,10,BAL,25,33,290,4,0,7,33,0
Justin Herbert,11,LAC,17,36,297,2,0,5,65,0
Justin Fields,13,PIT,0,0,0,0,0,1,7,0
Russell Wilson,13,PIT,29,38,414,3,1,3,3,0
Cooper Rush,14,DAL,16,31,183,2,1,2,5,0
Will Levis,15,TEN,8,12,89,0,3,2,0,0
Mason Rudolph,15,TEN,21,26,209,2,1,2,14,0
Dorian Thompson-Robinson,16,CLE,20,34,157,0,2,9,49,0
Bo Nix,17,DEN,24,31,219,3,1,7,31,0
Russell Wilson,18,PIT,17,31,148,1,0,4,16,0
