name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Antonio Gibson,1,NE,7,18,0,0,0,0,0
Rhamondre Stevenson,1,NE,25,120,1,3,3,6,0
Isiah Pacheco,2,KC,19,90,0,5,5,21,0
Samaje Perine,2,KC,0,0,0,1,1,3,0
Carson Steele,2,KC,7,24,0,0,0,0,0
Austin Ekeler,3,WAS,3,35,1,2,2,22,0
Jeremy McNichols,3,WAS,1,1,0,0,0,0,0
Brian Robinson Jr.,3,WAS,16,33,1,1,1,4,0
Chuba Hubbard,4,CAR,18,104,1,4,4,17,0
Miles Sanders,4,CAR,6,32,0,4,3,14,0
Derrick Henry,5,BAL,15,92,1,1,1,4,0
Justice Hill,5,BAL,5,17,0,2,1,8,0
Eric Gray,6,NYG,3,13,0,0,0,0,0
Tyrone Tracy Jr.,6,NYG,17,50,1,6,6,57,0
Nick Chubb,7,CLE,11,22,1,3,1,10,0
D'Onta Foreman,7,CLE,2,5,0,0,0,0,0
Pierre Strong Jr.,7,CLE,3,6,0,3,1,9,0
Saquon Barkley,8,PHI,22,108,0,1,1,3,0
Kenneth Gainwell,8,PHI,5,19,0,1,0,0,0
Will Shipley,8,PHI,2,-3,0,0,0,0,0
Ameer Abdullah,9,LV,4,12,0,3,3,14,0
Alexander Mattison,9,LV,9,36,0,0,0,0,0
Zamir White,9,LV,6,10,1,0,0,0,0
Derrick Henry,10,BAL,16,68,1,1,1,3,0
Justice Hill,10,BAL,2,-2,0,2,2,0,0
J.K. Dobbins,11,LAC,11,56,2,1,1,3,0
Gus Edwards,11,LAC,6,27,0,0,0,0,0
Hassan Haskins,11,LAC,2,1,0,0,0,0,0
Najee Harris,13,PIT,16,75,1,6,6,54,0
Cordarrelle Patterson,13,PIT,3,16,0,3,3,37,0
Jaylen Warren,13,PIT,3,9,0,4,4,55,0
Rico Dowdle,14,DAL,18,131,0,2,1,10,0
Ezekiel Elliott,14,DAL,2,4,0,1,1,2,0
Hunter Luepke,14,DAL,0,0,0,1,1,5,0
Tony Pollard,15,TEN,17,45,1,0,0,0,0
Tyjae Spears,15,TEN,4,5,1,7,6,87,1
Jerome Ford,16,CLE,11,92,1,5,5,39,0
D'Onta Foreman,16,CLE,2,1,0,0,0,0,0
Pierre Strong Jr.,16,CLE,2,6,0,2,2,3,0
Audric Estime,17,DEN,9,24,0,1,1,13,0
Jaleel McLaughlin,17,DEN,10,69,0,2,2,7,0
Javonte Williams,17,DEN,0,0,0,2,2,0,0
Najee Harris,18,PIT,12,36,1,5,4,20,0
Cordarrelle Patterson,18,PIT,1,1,0,0,0,0,0
Jaylen Warren,18,PIT,6,21,0,1,0,0,0
