name,week,team,targ,rec,recyd,rectd
Hunter Henry,1,NE,3,2,18,0
Austin Hooper,1,NE,4,2,31,0
Travis Kelce,2,KC,3,1,5,0
Jared Wiley,2,KC,1,1,7,0
Zach Ertz,3,WAS,5,5,38,0
Feleipe Franks,4,CAR,1,0,0,0
Ja'Tavion Sanders,4,CAR,2,2,16,0
Mark Andrews,5,BAL,5,4,55,0
Charlie Kolar,5,BAL,4,3,64,1
Isaiah Likely,5,BAL,3,3,13,2
Theo Johnson,6,NYG,3,3,30,0
Jordan Akins,7,CLE,4,4,42,0
David Njoku,7,CLE,14,10,76,1
Grant Calcaterra,8,PHI,3,3,58,0
Jack Stoll,8,PHI,1,1,6,0
Brock Bowers,9,LV,8,5,45,1
Harrison Bryant,9,LV,2,2,22,0
Mark Andrews,10,BAL,7,6,68,1
Charlie Kolar,10,BAL,1,1,4,0
Will Dissly,11,LAC,6,4,80,1
Tucker Fisk,11,LAC,2,1,6,0
Pat Freiermuth,13,PIT,7,6,68,1
MyCole Pruitt,13,PIT,3,2,21,0
Darnell Washington,13,PIT,1,1,10,0
Jake Ferguson,14,DAL,6,3,32,0
Luke Schoonmaker,14,DAL,2,2,22,0
Chig Okonkwo,15,TEN,10,8,59,0
Nick Vannett,15,TEN,1,1,7,0
Josh Whyle,15,TEN,5,5,37,1
Jordan Akins,16,CLE,2,1,8,0
David Njoku,16,CLE,10,8,66,0
Nate Adkins,17,DEN,1,1,7,0
Lucas Krull,17,DEN,1,1,3,0
Adam Trautman,17,DEN,3,1,5,0
Pat Freiermuth,18,PIT,11,8,85,1
