name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
DeMario Douglas,1,NE,0,0,0,3,2,12,0
K.J. Osborn,1,NE,0,0,0,6,3,21,0
Ja'Lynn Polk,1,NE,0,0,0,1,1,6,0
Tyquan Thornton,1,NE,0,0,0,3,2,27,0
Rashee Rice,2,KC,0,0,0,6,5,75,1
Justin Watson,2,KC,0,0,0,2,2,22,0
Xavier Worthy,2,KC,1,5,0,4,2,17,0
Dyami Brown,3,WAS,0,0,0,2,2,16,0
Noah Brown,3,WAS,0,0,0,3,3,29,0
Luke McCaffrey,3,WAS,0,0,0,3,3,44,0
Terry McLaurin,3,WAS,0,0,0,6,4,100,1
Jalen Coker,4,CAR,0,0,0,1,0,0,0
Diontae Johnson,4,CAR,0,0,0,13,7,83,1
Xavier Legette,4,CAR,2,10,0,10,6,66,1
Jonathan Mingo,4,CAR,0,0,0,5,3,24,0
Nelson Agholor,5,BAL,0,0,0,4,1,4,0
Rashod Bateman,5,BAL,0,0,0,8,4,58,1
Zay Flowers,5,BAL,1,9,0,12,7,111,0
Tylan Wallace,5,BAL,0,0,0,2,2,31,0
Isaiah Hodgins,6,NYG,0,0,0,1,1,5,0
Jalin Hyatt,6,NYG,0,0,0,4,1,6,0
Wan'Dale Robinson,6,NYG,0,0,0,11,5,50,0
Darius Slayton,6,NYG,0,0,0,11,6,57,0
Jerry Jeudy,7,CLE,0,0,0,5,1,18,0
Elijah Moore,7,CLE,0,0,0,7,6,41,0
Cedric Tillman,7,CLE,0,0,0,12,8,81,0
A.J. Brown,8,PHI,0,0,0,6,5,84,0
DeVonta Smith,8,PHI,0,0,0,7,6,85,1
Ramel Keyton,9,LV,0,0,0,2,1,7,0
Jakobi Meyers,9,LV,0,0,0,11,8,105,0
Tre Tucker,9,LV,0,0,0,6,2,5,0
Nelson Agholor,10,BAL,0,0,0,2,1,6,1
Rashod Bateman,10,BAL,0,0,0,8,6,54,1
Zay Flowers,10,BAL,0,0,0,6,4,34,0
Diontae Johnson,10,BAL,0,0,0,2,1,6,0
Tylan Wallace,10,BAL,0,0,0,3,3,115,1
Derius Davis,11,LAC,1,6,0,2,1,14,0
Quentin Johnston,11,LAC,0,0,0,8,2,48,1
Ladd McConkey,11,LAC,0,0,0,9,6,123,0
Joshua Palmer,11,LAC,0,0,0,4,2,23,0
Jalen Reagor,11,LAC,0,0,0,1,0,0,0
Calvin Austin III,13,PIT,0,0,0,2,2,29,1
Van Jefferson,13,PIT,0,0,0,3,1,43,0
George Pickens,13,PIT,0,0,0,6,3,74,1
Ben Skowronek,13,PIT,0,0,0,1,1,23,0
Brandin Cooks,14,DAL,0,0,0,3,1,3,1
Ryan Flournoy,14,DAL,0,0,0,1,0,0,0
CeeDee Lamb,14,DAL,1,1,0,7,6,93,1
Jonathan Mingo,14,DAL,0,0,0,1,0,0,0
Jalen Tolbert,14,DAL,0,0,0,3,0,0,0
KaVontae Turpin,14,DAL,2,15,0,4,1,16,0
Tyler Boyd,15,TEN,0,0,0,3,2,39,0
Mason Kinsey,15,TEN,0,0,0,1,1,11,0
Bryce Oliver,15,TEN,0,0,0,2,1,8,0
Calvin Ridley,15,TEN,1,19,0,5,3,41,0
Nick Westbrook-Ikhine,15,TEN,0,0,0,3,2,9,0
Jerry Jeudy,16,CLE,0,0,0,3,2,20,0
Elijah Moore,16,CLE,0,0,0,5,2,21,0
Jamari Thrash,16,CLE,0,0,0,1,0,0,0
Michael Woods II,16,CLE,0,0,0,3,0,0,0
Troy Franklin,17,DEN,0,0,0,2,1,-1,0
Marvin Mims Jr.,17,DEN,1,-1,0,8,8,103,2
Courtland Sutton,17,DEN,0,0,0,9,5,55,1
Devaughn Vele,17,DEN,0,0,0,2,2,27,0
Calvin Austin III,18,PIT,0,0,0,1,0,0,0
Van Jefferson,18,PIT,0,0,0,4,3,18,0
George Pickens,18,PIT,0,0,0,6,1,0,0
Mike Williams,18,PIT,0,0,0,1,1,25,0
