name,week,team,cmp,att,pyd,ptd,int,rsh,rshyd,rshtd
Dak Prescott,1,DAL,19,32,179,1,0,1,3,0
Cooper Rush,1,DAL,0,0,0,0,0,1,-1,0
Trevor Lawrence,2,JAX,14,30,220,0,0,2,45,0
Daniel Jones,3,NYG,24,34,236,2,0,8,20,0
Gardner Minshew II,4,LV,14,24,130,0,0,2,-2,0
Jayden Daniels,5,WAS,14,25,238,1,1,11,82,0
Marcus Mariota,5,WAS,1,3,-2,0,0,2,2,0
Jalen Hurts,6,PHI,16,25,264,2,0,14,33,0
Joe Burrow,7,CIN,15,25,181,2,0,3,-3,0
Lamar Jackson,8,BAL,23,38,289,2,0,8,46,0
Justin Herbert,9,LAC,18,27,282,2,0,3,2,0
Derek Carr,11,NO,21,27,248,2,0,1,8,0
Jake Haener,11,NO,0,0,0,0,0,2,-2,0
Justin Fields,12,PIT,0,1,0,0,0,3,26,0
Russell Wilson,12,PIT,21,28,270,1,0,3,10,0
Bo Nix,13,DEN,18,35,294,1,2,3,4,0
Russell Wilson,14,PIT,15,26,158,2,0,6,17,0
Patrick Mahomes,15,KC,19,38,159,2,0,2,14,0
Carson Wentz,15,KC,2,2,20,0,0,3,0,0
Jake Browning,16,CIN,0,0,0,0,0,1,-1,0
Joe Burrow,16,CIN,23,30,252,3,0,2,19,0
Tyler Huntley,17,MIA,22,26,225,1,0,7,52,1
Lamar Jackson,18,BAL,16,32,217,2,0,9,63,0
