name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Rico Dowdle,1,DAL,8,26,0,1,1,6,0
Ezekiel Elliott,1,DAL,10,40,1,2,2,9,0
Hunter Luepke,1,DAL,0,0,0,2,2,18,0
Deuce Vaughn,1,DAL,1,4,0,0,0,0,0
Travis Etienne Jr.,2,JAX,13,52,1,4,3,6,0
D'Ernest Johnson,2,JAX,5,26,0,0,0,0,0
Eric Gray,3,NYG,1,0,0,0,0,0,0
Devin Singletary,3,NYG,16,65,1,4,4,43,0
Tyrone Tracy Jr.,3,NYG,5,23,0,2,2,17,0
Alexander Mattison,4,LV,5,60,0,1,0,0,0
Zamir White,4,LV,17,50,0,1,0,0,0
Austin Ekeler,5,WAS,6,67,0,2,2,30,0
Jeremy McNichols,5,WAS,7,44,1,0,0,0,0
Brian Robinson Jr.,5,WAS,7,18,2,0,0,0,0
Saquon Barkley,6,PHI,18,47,0,2,2,7,0
Kenneth Gainwell,6,PHI,3,23,0,1,0,0,0
Chase Brown,7,CIN,15,44,0,2,2,9,0
Zack Moss,7,CIN,6,7,0,3,3,33,0
Derrick Henry,8,BAL,11,73,1,1,1,4,0
Justice Hill,8,BAL,2,5,0,1,1,14,0
J.K. Dobbins,9,LAC,14,85,2,2,2,20,0
Kimani Vidal,9,LAC,5,7,0,0,0,0,0
Alvin Kamara,11,NO,16,67,0,4,4,22,0
Jordan Mims,11,NO,2,3,0,0,0,0,0
Najee Harris,12,PIT,16,41,0,2,2,13,0
Cordarrelle Patterson,12,PIT,1,-2,0,0,0,0,0
Jaylen Warren,12,PIT,11,45,1,5,3,19,0
Michael Burton,13,DEN,1,1,1,0,0,0,0
Audric Estime,13,DEN,3,12,0,0,0,0,0
Jaleel McLaughlin,13,DEN,14,84,0,2,1,0,0
Javonte Williams,13,DEN,4,1,1,2,1,3,0
Najee Harris,14,PIT,16,53,1,0,0,0,0
Cordarrelle Patterson,14,PIT,4,3,0,1,1,-2,0
Jaylen Warren,14,PIT,9,47,0,5,2,25,0
Kareem Hunt,15,KC,13,45,0,2,1,4,0
Isiah Pacheco,15,KC,13,32,0,1,1,15,0
Samaje Perine,15,KC,1,11,0,1,1,23,0
Chase Brown,16,CIN,18,91,0,3,3,18,0
De'Von Achane,17,MIA,10,25,0,2,2,13,0
Raheem Mostert,17,MIA,6,3,0,2,2,16,0
Jeff Wilson Jr.,17,MIA,3,5,0,0,0,0,0
Rasheen Ali,18,BAL,0,0,0,2,0,0,0
Derrick Henry,18,BAL,20,138,2,3,2,23,0
Keaton Mitchell,18,BAL,4,10,0,0,0,0,0
Patrick Ricard,18,BAL,0,0,0,1,1,14,0
