name,week,team,targ,rec,recyd,rectd
Jake Ferguson,1,DAL,5,3,15,0
Luke Farrell,2,JAX,2,2,13,0
Brenton Strange,2,JAX,6,3,65,0
Daniel Bellinger,3,NYG,1,1,17,0
Theo Johnson,3,NYG,3,1,13,0
Brock Bowers,4,LV,3,2,19,0
Harrison Bryant,4,LV,2,2,21,0
Zach Ertz,5,WAS,8,2,10,0
Grant Calcaterra,6,PHI,4,4,67,0
Dallas Goedert,6,PHI,1,0,0,0
Erick All Jr.,7,CIN,1,0,0,0
Mike Gesicki,7,CIN,1,1,2,0
Tanner Hudson,7,CIN,1,0,0,0
Drew Sample,7,CIN,1,0,0,0
Mark Andrews,8,BAL,5,5,36,1
Charlie Kolar,8,BAL,2,1,9,0
Isaiah Likely,8,BAL,4,4,47,0
Will Dissly,9,LAC,3,2,9,0
Hayden Hurst,9,LAC,1,1,6,0
Eric Tomlinson,9,LAC,1,1,2,0
Taysom Hill,11,NO,10,8,50,0
Juwan Johnson,11,NO,3,3,30,1
Foster Moreau,11,NO,4,3,50,0
Pat Freiermuth,12,PIT,4,4,59,0
Darnell Washington,12,PIT,3,3,14,0
Nate Adkins,13,DEN,1,1,16,0
Lucas Krull,13,DEN,3,3,24,0
Adam Trautman,13,DEN,1,0,0,0
Pat Freiermuth,14,PIT,3,3,48,1
MyCole Pruitt,14,PIT,1,1,-1,0
Darnell Washington,14,PIT,1,0,0,0
Noah Gray,15,KC,5,2,21,1
Travis Kelce,15,KC,8,4,27,0
Mike Gesicki,16,CIN,2,2,14,0
Drew Sample,16,CIN,1,1,12,0
Jonnu Smith,17,MIA,4,3,26,1
Mark Andrews,18,BAL,8,4,54,1
Isaiah Likely,18,BAL,5,3,38,0
