name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Jalen Brooks,1,DAL,0,0,0,1,1,18,0
Brandin Cooks,1,DAL,1,5,0,7,4,40,1
CeeDee Lamb,1,DAL,3,25,0,10,5,61,0
Jalen Tolbert,1,DAL,0,0,0,2,1,12,0
KaVontae Turpin,1,DAL,0,0,0,1,0,0,0
Gabe Davis,2,JAX,0,0,0,7,3,43,0
Devin Duvernay,2,JAX,1,4,0,0,0,0,0
Christian Kirk,2,JAX,0,0,0,3,1,-1,0
Brian Thomas Jr.,2,JAX,0,0,0,4,2,94,0
Parker Washington,2,JAX,0,0,0,1,0,0,0
Jalin Hyatt,3,NYG,0,0,0,1,0,0,0
Malik Nabers,3,NYG,2,4,0,12,8,78,2
Wan'Dale Robinson,3,NYG,0,0,0,8,7,61,0
Darius Slayton,3,NYG,0,0,0,2,1,7,0
Tyreik McAllister,4,LV,2,11,0,0,0,0,0
Jakobi Meyers,4,LV,0,0,0,10,5,49,0
Tre Tucker,4,LV,1,3,1,6,5,41,0
DJ Turner,4,LV,1,18,1,1,0,0,0
Dyami Brown,5,WAS,0,0,0,2,2,57,1
Luke McCaffrey,5,WAS,0,0,0,3,3,19,0
Terry McLaurin,5,WAS,1,2,0,8,4,112,0
Brycen Tremayne,5,WAS,0,0,0,1,1,-2,0
Olamide Zaccheaus,5,WAS,0,0,0,3,1,10,0
A.J. Brown,6,PHI,0,0,0,9,6,116,1
Jahan Dotson,6,PHI,1,13,0,3,1,10,0
DeVonta Smith,6,PHI,0,0,0,4,3,64,1
Ja'Marr Chase,7,CIN,1,11,0,6,5,55,1
Tee Higgins,7,CIN,0,0,0,8,4,82,1
Andrei Iosivas,7,CIN,0,0,0,1,0,0,0
Nelson Agholor,8,BAL,0,0,0,5,3,36,1
Rashod Bateman,8,BAL,0,0,0,5,1,28,0
Zay Flowers,8,BAL,0,0,0,12,7,115,0
Simi Fehoko,9,LAC,0,0,0,1,0,0,0
Quentin Johnston,9,LAC,1,2,0,5,4,118,1
Ladd McConkey,9,LAC,0,0,0,7,5,64,0
Joshua Palmer,9,LAC,0,0,0,4,2,63,1
Jalen Reagor,9,LAC,0,0,0,2,1,0,0
Kevin Austin Jr.,11,NO,0,0,0,2,1,18,0
Dante Pettis,11,NO,0,0,0,1,1,9,0
Marquez Valdes-Scantling,11,NO,0,0,0,4,2,87,1
Calvin Austin III,12,PIT,0,0,0,3,3,78,1
Van Jefferson,12,PIT,0,0,0,2,2,39,0
George Pickens,12,PIT,0,0,0,7,4,48,0
Troy Franklin,13,DEN,0,0,0,5,2,28,0
Marvin Mims Jr.,13,DEN,1,4,0,4,3,105,1
Courtland Sutton,13,DEN,0,0,0,9,6,102,0
Devaughn Vele,13,DEN,0,0,0,4,1,16,0
Calvin Austin III,14,PIT,0,0,0,4,1,4,0
Van Jefferson,14,PIT,0,0,0,1,1,10,1
Scotty Miller,14,PIT,0,0,0,4,3,38,0
Mike Williams,14,PIT,0,0,0,4,3,36,0
DeAndre Hopkins,15,KC,0,0,0,6,5,36,0
JuJu Smith-Schuster,15,KC,0,0,0,3,1,7,1
Justin Watson,15,KC,0,0,0,1,0,0,0
Xavier Worthy,15,KC,3,30,1,11,6,46,0
Ja'Marr Chase,16,CIN,1,7,0,8,6,97,1
Tee Higgins,16,CIN,0,0,0,11,8,58,1
Andrei Iosivas,16,CIN,0,0,0,3,3,53,1
River Cracraft,17,MIA,0,0,0,1,1,16,0
Dee Eskridge,17,MIA,0,0,0,1,1,8,0
Tyreek Hill,17,MIA,0,0,0,9,9,105,0
Malik Washington,17,MIA,1,-11,0,5,4,41,0
Rashod Bateman,18,BAL,0,0,0,8,5,76,1
Zay Flowers,18,BAL,1,9,0,2,1,12,0
Tylan Wallace,18,BAL,0,0,0,1,0,0,0
