name,week,team,cmp,att,pyd,ptd,int,rsh,rshyd,rshtd
Deshaun Watson,1,CLE,24,45,169,1,2,5,39,0
Derek Carr,2,NO,11,16,243,2,1,1,1,1
Jake Haener,2,NO,0,0,0,0,0,3,-3,0
Lamar Jackson,3,BAL,12,15,182,1,0,14,87,1
Daniel Jones,4,NYG,29,40,281,0,1,4,3,0
Kyle Allen,5,PIT,1,1,19,0,0,0,0,0
Justin Fields,5,PIT,15,27,131,2,0,6,27,0
Jared Goff,6,DET,18,25,315,3,0,3,5,0
Hendon Hooker,6,DET,1,2,19,0,0,1,-1,0
Brock Purdy,8,SF,18,26,260,1,0,8,56,1
Kirk Cousins,9,ATL,19,24,222,3,0,4,-11,0
Jalen Hurts,10,PHI,14,20,202,2,1,7,56,2
Kenny Pickett,10,PHI,1,2,5,0,0,1,1,0
C.J. Stroud,11,HOU,23,34,257,0,1,3,26,0
Jayden Daniels,12,WAS,25,38,275,2,2,7,74,1
Drew Lock,13,NYG,21,32,178,0,1,4,57,1
Joe Burrow,14,CIN,33,44,369,3,1,2,-2,0
Bryce Young,15,CAR,19,28,219,1,2,3,12,1
Baker Mayfield,16,TB,31,43,303,2,1,3,42,0
Tanner McKee,17,PHI,3,4,54,2,0,2,-2,0
Kenny Pickett,17,PHI,10,15,143,1,0,3,3,1
Jayden Daniels,18,WAS,6,12,38,0,0,4,27,0
Marcus Mariota,18,WAS,15,18,161,2,0,5,56,1
