name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Jerome Ford,1,CLE,12,44,1,7,6,25,0
Pierre Strong Jr.,1,CLE,2,10,0,3,2,20,0
Alvin Kamara,2,NO,20,115,3,3,2,65,1
Adam Prentice,2,NO,0,0,0,1,0,0,0
Jamaal Williams,2,NO,8,39,0,0,0,0,0
Derrick Henry,3,BAL,25,151,2,1,1,23,0
Justice Hill,3,BAL,5,33,0,2,2,21,0
Eric Gray,4,NYG,1,1,0,0,0,0,0
Devin Singletary,4,NYG,14,24,0,1,1,14,0
Tyrone Tracy Jr.,4,NYG,4,2,0,1,1,19,0
Najee Harris,5,PIT,14,42,0,2,2,35,0
Aaron Shampklin,5,PIT,4,14,0,0,0,0,0
Jonathan Ward,5,PIT,2,9,0,0,0,0,0
Jahmyr Gibbs,6,DET,12,63,0,5,3,28,0
David Montgomery,6,DET,12,80,2,1,1,0,0
Craig Reynolds,6,DET,6,21,0,0,0,0,0
Sione Vaki,6,DET,1,5,0,0,0,0,0
Isaac Guerendo,8,SF,14,85,1,4,3,17,0
Kyle Juszczyk,8,SF,1,1,0,1,1,6,0
Jordan Mason,8,SF,6,18,0,0,0,0,0
Patrick Taylor Jr.,8,SF,2,9,0,0,0,0,0
Tyler Allgeier,9,ATL,6,18,1,0,0,0,0
Bijan Robinson,9,ATL,19,86,0,7,7,59,0
Saquon Barkley,10,PHI,14,66,0,1,1,12,0
Kenneth Gainwell,10,PHI,7,30,0,1,1,9,0
Will Shipley,10,PHI,9,34,0,0,0,0,0
Joe Mixon,11,HOU,20,109,3,4,2,44,0
Dare Ogunbowale,11,HOU,0,0,0,1,1,11,0
Dameon Pierce,11,HOU,1,2,0,0,0,0,0
Austin Ekeler,12,WAS,9,22,0,3,2,2,0
Jeremy McNichols,12,WAS,3,22,0,0,0,0,0
Brian Robinson Jr.,12,WAS,5,13,0,2,1,11,0
Devin Singletary,13,NYG,7,23,0,1,0,0,0
Tyrone Tracy Jr.,13,NYG,9,32,1,3,2,33,0
Chase Brown,14,CIN,14,58,0,8,6,65,1
Khalil Herbert,14,CIN,2,4,0,1,1,7,0
Mike Boone,15,CAR,2,14,0,0,0,0,0
Chuba Hubbard,15,CAR,10,32,0,4,4,17,0
Bucky Irving,16,TB,16,68,1,3,3,24,0
Rachaad White,16,TB,3,10,0,8,7,50,0
Saquon Barkley,17,PHI,31,167,0,2,2,2,0
Tyrion Davis-Price,17,PHI,3,7,0,0,0,0,0
Kenneth Gainwell,17,PHI,3,4,0,1,1,5,0
Austin Ekeler,18,WAS,3,12,0,2,2,20,0
Brian Robinson Jr.,18,WAS,5,10,0,1,1,6,0
