name,week,team,targ,rec,recyd,rectd
Jordan Akins,1,CLE,4,3,27,0
David Njoku,1,CLE,5,4,44,0
Taysom Hill,2,NO,1,1,1,0
Mark Andrews,3,BAL,1,0,0,0
Charlie Kolar,3,BAL,1,1,30,0
Isaiah Likely,3,BAL,1,1,4,0
Theo Johnson,4,NYG,1,1,6,0
Pat Freiermuth,5,PIT,3,3,22,1
Connor Heyward,5,PIT,4,2,23,1
Darnell Washington,5,PIT,2,1,5,0
Sam LaPorta,6,DET,1,1,52,1
Brock Wright,6,DET,1,0,0,0
George Kittle,8,SF,7,6,128,1
Kyle Pitts,9,ATL,1,1,11,0
Grant Calcaterra,10,PHI,1,0,0,0
Dallas Goedert,10,PHI,3,2,25,1
Dalton Schultz,11,HOU,7,5,33,0
Cade Stover,11,HOU,2,2,15,0
John Bates,12,WAS,1,1,13,0
Zach Ertz,12,WAS,8,6,38,1
Theo Johnson,13,NYG,5,5,54,0
Mike Gesicki,14,CIN,3,3,24,0
Tanner Hudson,14,CIN,1,1,19,0
Drew Sample,14,CIN,2,2,13,0
Ja'Tavion Sanders,15,CAR,1,0,0,0
Tommy Tremble,15,CAR,2,2,15,0
Payne Durham,16,TB,7,5,29,0
Ryan Miller,16,TB,2,2,17,1
Grant Calcaterra,17,PHI,2,1,34,0
E.J. Jenkins,17,PHI,1,0,0,0
John Bates,18,WAS,1,0,0,0
Zach Ertz,18,WAS,5,5,44,1
