name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Amari Cooper,1,CLE,0,0,0,9,2,16,0
Jerry Jeudy,1,CLE,0,0,0,8,3,25,1
Elijah Moore,1,CLE,0,0,0,6,3,9,0
Cedric Tillman,1,CLE,0,0,0,1,1,3,0
Chris Olave,2,NO,1,7,0,6,4,81,0
Rashid Shaheed,2,NO,3,13,0,4,4,96,1
Nelson Agholor,3,BAL,0,0,0,1,1,56,0
Rashod Bateman,3,BAL,0,0,0,4,3,28,1
Zay Flowers,3,BAL,1,3,0,4,3,20,0
Jalin Hyatt,4,NYG,0,0,0,1,0,0,0
Malik Nabers,4,NYG,1,-4,0,15,12,115,0
Wan'Dale Robinson,4,NYG,0,0,0,14,11,71,0
Darius Slayton,4,NYG,0,0,0,5,3,56,0
Calvin Austin III,5,PIT,0,0,0,2,1,6,0
Van Jefferson,5,PIT,0,0,0,5,3,26,0
Brandon Johnson,5,PIT,0,0,0,1,1,9,0
George Pickens,5,PIT,0,0,0,7,3,26,0
Tim Patrick,6,DET,0,0,0,3,3,68,0
Kalif Raymond,6,DET,0,0,0,6,4,73,0
Allen Robinson II,6,DET,0,0,0,1,0,0,0
Amon-Ra St. Brown,6,DET,0,0,0,4,4,37,1
Jameson Williams,6,DET,1,11,0,4,3,76,1
Ronnie Bell,8,SF,0,0,0,1,0,0,0
Chris Conley,8,SF,0,0,0,1,0,0,0
Ricky Pearsall,8,SF,1,39,0,4,4,38,0
Deebo Samuel Sr.,8,SF,4,15,0,7,4,71,0
KhaDarel Hodge,9,ATL,0,0,0,2,1,9,0
Drake London,9,ATL,0,0,0,2,2,27,1
Ray-Ray McCloud III,9,ATL,1,7,0,3,3,28,1
Darnell Mooney,9,ATL,0,0,0,9,5,88,1
A.J. Brown,10,PHI,0,0,0,7,5,109,0
Jahan Dotson,10,PHI,0,0,0,1,1,27,0
Ainias Smith,10,PHI,0,0,0,2,2,6,0
DeVonta Smith,10,PHI,0,0,0,3,2,14,0
Johnny Wilson,10,PHI,0,0,0,1,1,5,1
Nico Collins,11,HOU,0,0,0,7,4,54,0
Tank Dell,11,HOU,1,4,0,7,4,54,0
John Metchie III,11,HOU,0,0,0,3,3,33,0
Robert Woods,11,HOU,0,0,0,2,2,13,0
Dyami Brown,12,WAS,1,14,0,2,2,22,0
Noah Brown,12,WAS,0,0,0,10,6,71,0
Luke McCaffrey,12,WAS,0,0,0,1,1,8,0
Terry McLaurin,12,WAS,0,0,0,6,5,102,1
Olamide Zaccheaus,12,WAS,0,0,0,1,1,8,0
Jalin Hyatt,13,NYG,0,0,0,2,2,8,0
Malik Nabers,13,NYG,1,4,0,13,8,69,0
Wan'Dale Robinson,13,NYG,0,0,0,2,2,6,0
Darius Slayton,13,NYG,0,0,0,6,2,8,0
Ja'Marr Chase,14,CIN,1,14,0,18,14,177,2
Tee Higgins,14,CIN,0,0,0,5,2,23,0
Andrei Iosivas,14,CIN,0,0,0,5,4,41,0
Jalen Coker,15,CAR,0,0,0,6,4,110,1
Xavier Legette,15,CAR,1,2,0,3,2,7,0
David Moore,15,CAR,0,0,0,4,2,19,0
Adam Thielen,15,CAR,0,0,0,7,5,51,0
Mike Evans,16,TB,0,0,0,8,5,69,0
Rakim Jarrett,16,TB,0,0,0,1,1,6,0
Jalen McMillan,16,TB,0,0,0,7,5,57,1
Trey Palmer,16,TB,0,0,0,4,2,31,0
Sterling Shepard,16,TB,1,14,0,3,1,20,0
A.J. Brown,17,PHI,0,0,0,5,3,36,1
DeVonta Smith,17,PHI,0,0,0,7,6,120,2
Dyami Brown,18,WAS,1,8,0,4,3,16,0
Terry McLaurin,18,WAS,0,0,0,12,8,62,1
Olamide Zaccheaus,18,WAS,0,0,0,5,2,51,0
