name,week,team,cmp,att,pyd,ptd,int,rsh,rshyd,rshtd
Geno Smith,1,SEA,18,25,171,1,1,4,30,1
Justin Fields,2,PIT,13,20,117,1,0,8,27,0
Baker Mayfield,3,TB,25,33,163,1,1,0,0,0
Aaron Rodgers,4,NYJ,24,42,225,0,0,5,26,0
Gardner Minshew II,5,LV,12,17,137,1,2,2,22,0
Aidan O'Connell,5,LV,10,20,94,0,1,0,0,0
Justin Herbert,6,LAC,21,34,237,1,0,4,2,0
Jake Haener,7,NO,3,4,38,1,0,0,0,0
Spencer Rattler,7,NO,25,35,172,0,0,5,34,0
Bryce Young,8,CAR,24,37,224,2,2,3,6,0
Lamar Jackson,9,BAL,16,19,280,3,0,3,4,0
Josh Johnson,9,BAL,0,0,0,0,0,3,2,0
Patrick Mahomes,10,KC,28,42,266,1,0,3,19,0
Kirk Cousins,11,ATL,18,27,173,0,1,1,0,0
Michael Penix Jr.,11,ATL,2,4,24,0,0,0,0,0
Gardner Minshew II,12,LV,25,42,230,1,1,2,5,0
Desmond Ridder,12,LV,5,10,64,0,0,1,3,0
Jameis Winston,13,CLE,34,58,497,4,3,3,11,0
Anthony Richardson,15,IND,17,38,172,0,2,7,46,1
Justin Herbert,16,LAC,23,31,284,2,1,8,28,0
Joe Burrow,17,CIN,39,49,412,3,0,4,25,1
Chris Oladokun,18,KC,0,0,0,0,0,1,5,0
Carson Wentz,18,KC,10,17,98,0,0,0,0,0
Josh Allen,19,BUF,20,26,272,2,0,8,46,0
Mitchell Trubisky,19,BUF,0,0,0,0,0,3,-3,0
