name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Zach Charbonnet,1,SEA,8,12,0,3,2,29,1
Kenneth Walker III,1,SEA,20,103,1,3,2,6,0
Najee Harris,2,PIT,17,69,0,2,1,5,0
Cordarrelle Patterson,2,PIT,2,3,0,0,0,0,0
Jaylen Warren,2,PIT,9,42,0,2,2,19,0
Bucky Irving,3,TB,9,70,0,3,3,14,0
Sean Tucker,3,TB,1,4,0,0,0,0,0
Rachaad White,3,TB,6,17,0,6,5,18,0
Braelon Allen,4,NYJ,8,34,0,1,1,12,0
Breece Hall,4,NYJ,10,4,0,5,2,14,0
Ameer Abdullah,5,LV,5,42,1,3,3,9,0
Alexander Mattison,5,LV,15,38,0,3,2,23,0
J.K. Dobbins,6,LAC,25,96,1,2,2,6,0
Hassan Haskins,6,LAC,2,5,0,0,0,0,0
Kimani Vidal,6,LAC,4,11,0,2,2,40,1
Alvin Kamara,7,NO,7,10,0,7,6,14,0
Kendre Miller,7,NO,6,36,0,3,2,1,0
Jamaal Williams,7,NO,3,17,0,0,0,0,0
Chuba Hubbard,8,CAR,15,56,0,2,2,15,0
Miles Sanders,8,CAR,1,7,0,7,7,38,0
Derrick Henry,9,BAL,23,106,2,1,1,27,0
Justice Hill,9,BAL,5,15,0,3,3,43,0
Patrick Ricard,9,BAL,0,0,0,1,1,3,1
Kareem Hunt,10,KC,14,35,0,10,7,65,0
Samaje Perine,10,KC,0,0,0,2,2,37,0
Carson Steele,10,KC,2,3,0,0,0,0,0
Tyler Allgeier,11,ATL,0,0,0,1,1,-1,0
Jase McClellan,11,ATL,8,15,0,0,0,0,0
Bijan Robinson,11,ATL,12,35,0,4,4,28,0
Ameer Abdullah,12,LV,8,28,0,6,5,37,1
Sincere McCormick,12,LV,5,33,0,0,0,0,0
Nick Chubb,13,CLE,9,21,0,2,2,24,1
Jerome Ford,13,CLE,9,41,0,1,1,21,0
Tyler Goodson,15,IND,1,3,0,0,0,0,0
Trey Sermon,15,IND,1,3,0,2,2,9,0
Jonathan Taylor,15,IND,22,107,0,2,1,4,0
Gus Edwards,16,LAC,14,68,2,2,1,3,0
Hassan Haskins,16,LAC,0,0,0,2,2,39,1
Kimani Vidal,16,LAC,5,24,0,0,0,0,0
Chase Brown,17,CIN,20,67,0,4,4,24,0
Khalil Herbert,17,CIN,4,23,0,0,0,0,0
Samaje Perine,18,KC,1,1,0,1,1,13,0
Carson Steele,18,KC,8,25,0,2,2,2,0
James Cook,19,BUF,23,120,1,0,0,0,0
Ray Davis,19,BUF,1,3,0,0,0,0,0
Ty Johnson,19,BUF,9,44,0,2,2,26,1
