name,week,team,targ,rec,recyd,rectd
Noah Fant,1,SEA,4,2,11,0
Pat Freiermuth,2,PIT,4,4,39,0
Darnell Washington,2,PIT,1,1,5,1
Payne Durham,3,TB,1,1,8,0
Cade Otton,3,TB,8,7,47,0
Tyler Conklin,4,NYJ,8,4,17,0
Jeremy Ruckert,4,NYJ,2,2,10,0
Brock Bowers,5,LV,12,8,97,1
Will Dissly,6,LAC,5,4,26,0
Stone Smartt,6,LAC,1,1,10,0
Juwan Johnson,7,NO,6,3,18,0
Foster Moreau,7,NO,2,2,38,0
Ja'Tavion Sanders,8,CAR,1,1,7,0
Tommy Tremble,8,CAR,3,2,13,0
Mark Andrews,9,BAL,2,2,26,0
Isaiah Likely,9,BAL,1,0,0,0
Noah Gray,10,KC,2,2,18,0
Peyton Hendershot,10,KC,1,1,6,0
Travis Kelce,10,KC,12,8,64,1
Ross Dwelley,11,ATL,1,1,5,0
Kyle Pitts,11,ATL,3,1,9,0
Brock Bowers,12,LV,10,4,38,0
Michael Mayer,12,LV,2,2,11,0
Jordan Akins,13,CLE,1,0,0,0
David Njoku,13,CLE,17,9,52,2
Blake Whiteheart,13,CLE,1,0,0,0
Kylen Granson,15,IND,4,3,47,0
Will Mallory,15,IND,1,0,0,0
Tucker Fisk,16,LAC,1,1,10,0
Hayden Hurst,16,LAC,1,1,8,0
Stone Smartt,16,LAC,3,3,37,0
Mike Gesicki,17,CIN,12,10,86,0
Cam Grandy,17,CIN,1,1,7,0
Drew Sample,17,CIN,1,1,3,0
Noah Gray,18,KC,1,1,1,0
Peyton Hendershot,18,KC,2,2,25,0
Dalton Kincaid,19,BUF,3,3,47,0
Dawson Knox,19,BUF,3,2,38,0
