name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Tyler Lockett,1,SEA,0,0,0,7,6,77,0
DK Metcalf,1,SEA,0,0,0,4,3,29,0
Laviska Shenault Jr.,1,SEA,1,1,0,1,1,0,0
Jaxon Smith-Njigba,1,SEA,0,0,0,2,2,19,0
Dareke Young,1,SEA,0,0,0,1,0,0,0
Calvin Austin III,2,PIT,0,0,0,2,1,6,0
Van Jefferson,2,PIT,0,0,0,3,2,14,0
George Pickens,2,PIT,0,0,0,4,2,29,0
Mike Evans,3,TB,0,0,0,3,2,17,0
Chris Godwin,3,TB,0,0,0,9,6,53,1
Jalen McMillan,3,TB,0,0,0,1,1,6,0
Trey Palmer,3,TB,0,0,0,1,0,0,0
Xavier Gipson,4,NYJ,0,0,0,4,1,6,0
Allen Lazard,4,NYJ,0,0,0,8,5,58,0
Mike Williams,4,NYJ,0,0,0,5,4,67,0
Garrett Wilson,4,NYJ,0,0,0,8,5,41,0
Jakobi Meyers,5,LV,0,0,0,9,6,72,0
Tre Tucker,5,LV,2,8,0,5,2,18,0
DJ Turner,5,LV,1,5,0,4,1,12,0
Derius Davis,6,LAC,2,14,0,2,1,8,0
Simi Fehoko,6,LAC,0,0,0,4,2,44,0
Quentin Johnston,6,LAC,1,0,0,4,3,22,0
Ladd McConkey,6,LAC,0,0,0,8,4,43,0
Joshua Palmer,6,LAC,0,0,0,3,2,38,0
Bub Means,7,NO,0,0,0,5,3,37,0
Mason Tipton,7,NO,0,0,0,9,6,45,0
Cedrick Wilson Jr.,7,NO,0,0,0,7,6,57,1
Jalen Coker,8,CAR,0,0,0,6,4,78,1
Xavier Legette,8,CAR,1,0,0,7,4,34,1
Jonathan Mingo,8,CAR,0,0,0,3,0,0,0
David Moore,8,CAR,0,0,0,5,4,39,0
Nelson Agholor,9,BAL,0,0,0,1,1,29,0
Rashod Bateman,9,BAL,0,0,0,4,3,25,0
Zay Flowers,9,BAL,0,0,0,6,5,127,2
Mecole Hardman,10,KC,0,0,0,1,1,3,0
DeAndre Hopkins,10,KC,0,0,0,5,4,56,0
Justyn Ross,10,KC,0,0,0,1,0,0,0
Justin Watson,10,KC,0,0,0,2,2,6,0
Xavier Worthy,10,KC,0,0,0,4,1,11,0
KhaDarel Hodge,11,ATL,0,0,0,2,2,22,0
Drake London,11,ATL,0,0,0,7,3,61,0
Ray-Ray McCloud III,11,ATL,0,0,0,6,6,46,0
Darnell Mooney,11,ATL,0,0,0,4,2,27,0
Casey Washington,11,ATL,0,0,0,1,0,0,0
Jakobi Meyers,12,LV,0,0,0,15,10,121,0
Tre Tucker,12,LV,0,0,0,8,7,82,0
DJ Turner,12,LV,0,0,0,4,2,5,0
Jerry Jeudy,13,CLE,0,0,0,13,9,235,1
Elijah Moore,13,CLE,1,1,0,14,8,111,0
Jamari Thrash,13,CLE,0,0,0,2,2,11,0
Kadarius Toney,13,CLE,1,3,0,1,0,0,0
Michael Woods II,13,CLE,0,0,0,5,3,43,0
Josh Downs,15,IND,0,0,0,8,3,32,0
Anthony Gould,15,IND,0,0,0,1,1,23,0
Adonai Mitchell,15,IND,1,-10,0,4,0,0,0
Alec Pierce,15,IND,0,0,0,4,0,0,0
Michael Pittman Jr.,15,IND,0,0,0,9,6,58,0
Derius Davis,16,LAC,1,-3,0,2,2,31,1
Quentin Johnston,16,LAC,0,0,0,6,3,18,0
Ladd McConkey,16,LAC,0,0,0,6,6,87,0
Joshua Palmer,16,LAC,0,0,0,6,3,41,0
Ja'Marr Chase,17,CIN,0,0,0,15,9,102,0
Tee Higgins,17,CIN,0,0,0,12,11,131,3
Andrei Iosivas,17,CIN,0,0,0,4,3,59,0
Nikko Remigio,18,KC,0,0,0,6,2,48,0
JuJu Smith-Schuster,18,KC,0,0,0,2,1,4,0
Justin Watson,18,KC,0,0,0,3,1,5,0
Keon Coleman,19,BUF,0,0,0,3,1,5,0
Amari Cooper,19,BUF,0,0,0,3,2,8,0
Mack Hollins,19,BUF,0,0,0,2,1,19,0
Curtis Samuel,19,BUF,0,0,0,3,3,68,1
Khalil Shakir,19,BUF,0,0,0,6,6,61,0
