name,week,team,cmp,att,pyd,ptd,int,rsh,rshyd,rshtd
Matthew Stafford,1,LAR,34,49,317,1,1,0,0,0
Baker Mayfield,2,TB,12,19,185,1,1,5,34,1
Kyler Murray,3,ARI,21,34,207,1,1,5,45,0
Geno Smith,4,SEA,38,56,395,1,1,5,38,0
Dak Prescott,6,DAL,17,33,178,0,2,1,1,0
Cooper Rush,6,DAL,8,11,46,0,1,1,2,0
Sam Darnold,7,MIN,22,27,259,1,1,4,39,0
Mason Rudolph,8,TEN,22,38,266,1,2,4,29,1
Jordan Love,9,GB,23,39,273,0,1,3,0,0
C.J. Stroud,10,HOU,19,33,232,1,2,1,5,0
Mac Jones,11,JAX,17,29,138,0,1,2,7,0
Anthony Richardson,12,IND,11,28,172,0,0,10,61,0
Caleb Williams,13,CHI,20,39,256,3,0,4,39,0
Jordan Love,14,GB,12,20,206,1,0,4,23,0
Josh Allen,15,BUF,23,34,362,2,0,11,68,2
Caleb Williams,16,CHI,26,40,334,2,0,6,34,0
Joshua Dobbs,17,SF,3,4,35,0,0,1,7,1
Brock Purdy,17,SF,27,35,377,3,2,3,12,1
Sam Darnold,18,MIN,18,41,166,0,0,3,10,0
Jayden Daniels,20,WAS,22,31,299,2,0,16,51,0
Marcus Mariota,20,WAS,0,0,0,0,0,1,-1,0
