name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Ronnie Rivers,1,LAR,2,16,0,0,0,0,0
Kyren Williams,1,LAR,18,50,1,3,3,4,0
Bucky Irving,2,TB,7,22,0,0,0,0,0
Rachaad White,2,TB,10,18,0,1,1,5,0
Trey Benson,3,ARI,2,8,0,0,0,0,0
James Conner,3,ARI,9,17,0,1,1,8,0
Emari Demercado,3,ARI,2,7,0,0,0,0,0
Zach Charbonnet,4,SEA,2,15,0,5,5,39,0
Kenneth Walker III,4,SEA,12,80,3,5,4,36,0
Rico Dowdle,6,DAL,5,25,0,6,5,30,0
Ezekiel Elliott,6,DAL,8,17,0,0,0,0,0
Ty Chandler,7,MIN,2,4,0,0,0,0,0
Aaron Jones,7,MIN,14,93,1,3,3,23,0
Julius Chestnut,8,TEN,7,32,0,0,0,0,0
Tony Pollard,8,TEN,20,94,0,4,3,23,0
Chris Brooks,9,GB,2,13,0,4,3,28,0
Josh Jacobs,9,GB,13,95,0,3,2,13,0
Emanuel Wilson,9,GB,4,28,1,1,1,1,0
Joe Mixon,10,HOU,25,46,1,4,2,44,0
Dare Ogunbowale,10,HOU,1,11,0,0,0,0,0
Travis Etienne Jr.,11,JAX,12,27,0,3,3,6,0
D'Ernest Johnson,11,JAX,2,3,0,0,0,0,0
Jonathan Taylor,12,IND,11,35,0,0,0,0,0
D'Andre Swift,13,CHI,11,39,0,3,2,35,0
Chris Brooks,14,GB,1,3,0,0,0,0,0
Josh Jacobs,14,GB,18,66,3,0,0,0,0
Emanuel Wilson,14,GB,1,7,0,0,0,0,0
James Cook,15,BUF,14,105,2,1,1,28,0
Ray Davis,15,BUF,7,15,0,2,2,14,1
Ty Johnson,15,BUF,2,9,0,5,5,114,0
Roschon Johnson,16,CHI,1,3,0,0,0,0,0
D'Andre Swift,16,CHI,9,20,0,3,3,33,0
Isaac Guerendo,17,SF,9,34,0,4,4,65,0
Kyle Juszczyk,17,SF,0,0,0,2,1,9,1
Cam Akers,18,MIN,6,65,0,2,2,4,0
Aaron Jones,18,MIN,10,45,0,6,5,30,0
Austin Ekeler,20,WAS,6,47,0,4,4,41,0
Jeremy McNichols,20,WAS,4,8,1,0,0,0,0
Brian Robinson Jr.,20,WAS,15,77,2,0,0,0,0
