name,week,team,targ,rec,recyd,rectd
Davis Allen,1,LAR,1,0,0,0
Colby Parkinson,1,LAR,5,4,47,0
Cade Otton,2,TB,2,0,0,0
Elijah Higgins,3,ARI,1,1,11,0
Trey McBride,3,ARI,6,3,25,0
AJ Barner,4,SEA,2,2,27,1
Pharaoh Brown,4,SEA,2,1,3,0
Noah Fant,4,SEA,2,2,26,0
Jake Ferguson,6,DAL,4,3,11,0
Johnny Mundt,7,MIN,5,4,8,0
Josh Oliver,7,MIN,1,1,5,0
Chig Okonkwo,8,TEN,5,2,14,0
Nick Vannett,8,TEN,1,0,0,0
Josh Whyle,8,TEN,2,2,33,0
Tucker Kraft,9,GB,6,4,34,0
Dalton Schultz,10,HOU,4,3,66,0
Cade Stover,10,HOU,2,1,2,0
Evan Engram,11,JAX,7,5,28,0
Luke Farrell,11,JAX,2,1,3,0
Brenton Strange,11,JAX,1,1,6,0
Kylen Granson,12,IND,2,0,0,0
Drew Ogletree,12,IND,1,0,0,0
Cole Kmet,13,CHI,3,3,26,0
Tucker Kraft,14,GB,5,3,41,1
Ben Sims,14,GB,1,1,2,0
Dalton Kincaid,15,BUF,7,4,53,0
Dawson Knox,15,BUF,3,2,42,0
Gerald Everett,16,CHI,1,1,6,0
Cole Kmet,16,CHI,2,2,9,1
George Kittle,17,SF,8,8,112,0
T.J. Hockenson,18,MIN,8,2,9,0
Josh Oliver,18,MIN,3,2,16,0
John Bates,20,WAS,2,1,20,0
Zach Ertz,20,WAS,5,5,28,1
