name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Tyler Johnson,1,LAR,0,0,0,7,5,79,0
Cooper Kupp,1,LAR,2,10,0,21,14,110,1
Puka Nacua,1,LAR,1,7,0,4,4,35,0
Demarcus Robinson,1,LAR,0,0,0,7,4,42,0
Mike Evans,2,TB,0,0,0,6,3,42,0
Chris Godwin,2,TB,0,0,0,8,7,117,1
Jalen McMillan,2,TB,0,0,0,2,1,21,0
Greg Dortch,3,ARI,0,0,0,6,3,35,0
Marvin Harrison Jr.,3,ARI,0,0,0,11,5,64,1
Michael Wilson,3,ARI,0,0,0,9,8,64,0
Jake Bobo,4,SEA,0,0,0,3,3,30,0
Tyler Lockett,4,SEA,0,0,0,9,5,61,0
DK Metcalf,4,SEA,0,0,0,12,7,104,0
Laviska Shenault Jr.,4,SEA,0,0,0,1,1,18,0
Jaxon Smith-Njigba,4,SEA,0,0,0,12,8,51,0
Jalen Brooks,6,DAL,0,0,0,6,1,15,0
Ryan Flournoy,6,DAL,0,0,0,1,1,12,0
CeeDee Lamb,6,DAL,1,2,0,14,7,89,0
Jalen Tolbert,6,DAL,0,0,0,5,4,43,0
KaVontae Turpin,6,DAL,1,6,0,7,4,24,0
Jordan Addison,7,MIN,0,0,0,4,3,66,0
Justin Jefferson,7,MIN,1,3,0,8,7,81,1
Jalen Nailor,7,MIN,0,0,0,5,4,76,0
Tyler Boyd,8,TEN,0,0,0,6,3,14,0
Jha'Quan Jackson,8,TEN,0,0,0,1,0,0,0
Calvin Ridley,8,TEN,1,3,0,15,10,143,0
Nick Westbrook-Ikhine,8,TEN,0,0,0,4,2,39,1
Romeo Doubs,9,GB,0,0,0,5,4,28,0
Bo Melton,9,GB,0,0,0,2,1,19,0
Jayden Reed,9,GB,0,0,0,6,5,113,0
Christian Watson,9,GB,0,0,0,7,3,37,0
Dontayvion Wicks,9,GB,0,0,0,3,0,0,0
Tank Dell,10,HOU,1,-6,0,9,5,39,0
Xavier Hutchinson,10,HOU,0,0,0,4,2,6,0
John Metchie III,10,HOU,0,0,0,6,5,74,1
Robert Woods,10,HOU,0,0,0,3,1,1,0
Gabe Davis,11,JAX,0,0,0,3,1,3,0
Devin Duvernay,11,JAX,0,0,0,2,0,0,0
Brian Thomas Jr.,11,JAX,1,4,0,7,5,82,0
Parker Washington,11,JAX,0,0,0,3,1,10,0
Josh Downs,12,IND,0,0,0,7,3,27,0
Ashton Dulin,12,IND,0,0,0,1,0,0,0
Adonai Mitchell,12,IND,0,0,0,3,1,10,0
Alec Pierce,12,IND,0,0,0,4,1,39,0
Michael Pittman Jr.,12,IND,0,0,0,7,6,96,0
Keenan Allen,13,CHI,0,0,0,8,5,73,2
DJ Moore,13,CHI,0,0,0,16,8,97,1
Rome Odunze,13,CHI,0,0,0,6,2,25,0
Jayden Reed,14,GB,0,0,0,1,0,0,0
Christian Watson,14,GB,0,0,0,7,4,114,0
Dontayvion Wicks,14,GB,0,0,0,5,4,49,0
Keon Coleman,15,BUF,0,0,0,2,1,64,0
Mack Hollins,15,BUF,0,0,0,3,1,7,0
Curtis Samuel,15,BUF,0,0,0,2,1,1,0
Khalil Shakir,15,BUF,0,0,0,7,6,39,1
Keenan Allen,16,CHI,0,0,0,13,9,141,1
Collin Johnson,16,CHI,0,0,0,1,0,0,0
DJ Moore,16,CHI,1,2,0,10,7,68,0
Rome Odunze,16,CHI,0,0,0,7,4,77,0
Chris Conley,17,SF,0,0,0,1,1,13,0
Jauan Jennings,17,SF,0,0,0,10,7,67,0
Ricky Pearsall,17,SF,2,6,0,10,8,141,1
Deebo Samuel Sr.,17,SF,3,16,0,1,1,5,1
Jordan Addison,18,MIN,0,0,0,6,1,0,0
Justin Jefferson,18,MIN,0,0,0,9,3,54,0
Jalen Nailor,18,MIN,0,0,0,4,3,53,0
Dyami Brown,20,WAS,0,0,0,8,6,98,0
Jamison Crowder,20,WAS,0,0,0,2,2,25,0
Terry McLaurin,20,WAS,0,0,0,6,4,87,1
Olamide Zaccheaus,20,WAS,0,0,0,2,0,0,0
