name,week,team,cmp,att,pyd,ptd,int,rsh,rshyd,rshtd
Jalen Hurts,1,PHI,20,34,278,2,2,13,33,0
Anthony Richardson,2,IND,17,34,204,1,3,4,37,0
Will Levis,3,TEN,26,34,260,2,2,3,12,0
Sam Darnold,4,MIN,20,28,275,3,1,7,15,0
Matthew Stafford,5,LAR,29,45,260,1,1,0,0,0
Kyler Murray,6,ARI,22,32,214,1,0,7,14,0
C.J. Stroud,7,HOU,10,21,86,0,0,5,19,0
Trevor Lawrence,8,JAX,21,32,308,2,1,4,10,1
Jared Goff,9,DET,18,22,145,1,0,3,-2,0
Caleb Williams,11,CHI,23,31,231,0,0,9,70,0
Brandon Allen,12,SF,17,29,199,1,1,2,5,0
Tua Tagovailoa,13,MIA,37,46,365,2,0,2,6,0
Jared Goff,14,DET,32,41,283,3,1,4,7,0
Sam Howell,15,SEA,5,14,24,0,1,1,2,0
Geno Smith,15,SEA,15,19,149,0,1,1,5,0
Spencer Rattler,16,NO,15,30,153,0,1,5,28,0
Sam Darnold,17,MIN,33,43,377,3,1,3,-3,0
Caleb Williams,18,CHI,21,29,148,1,0,3,10,0
Jalen Hurts,19,PHI,13,21,131,2,0,6,36,0
