name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Saquon Barkley,1,PHI,24,109,2,2,2,23,1
Kenneth Gainwell,1,PHI,1,2,0,1,1,10,0
Tyler Goodson,2,IND,0,0,0,1,1,2,0
Trey Sermon,2,IND,2,0,0,1,1,7,0
Jonathan Taylor,2,IND,12,103,0,4,2,32,0
Tony Pollard,3,TEN,6,14,0,4,3,15,0
Tyjae Spears,3,TEN,2,7,0,4,4,54,0
Ty Chandler,4,MIN,3,5,0,1,1,8,0
Aaron Jones,4,MIN,22,93,0,5,4,46,0
Blake Corum,5,LAR,5,25,0,1,1,8,0
Kyren Williams,5,LAR,22,102,1,1,1,3,0
Trey Benson,6,ARI,5,26,0,0,0,0,0
James Conner,6,ARI,7,24,0,5,4,22,0
Emari Demercado,6,ARI,4,25,0,7,5,39,0
Joe Mixon,7,HOU,25,115,2,3,2,9,0
Dare Ogunbowale,7,HOU,1,6,0,1,0,0,0
Dameon Pierce,7,HOU,2,2,0,0,0,0,0
Tank Bigsby,8,JAX,18,78,0,3,2,8,0
D'Ernest Johnson,8,JAX,1,3,0,2,1,20,0
Jahmyr Gibbs,9,DET,11,65,1,2,1,11,0
David Montgomery,9,DET,17,73,0,3,3,23,0
Roschon Johnson,11,CHI,10,33,1,1,1,8,0
D'Andre Swift,11,CHI,14,71,1,2,2,13,0
Kyle Juszczyk,12,SF,0,0,0,1,1,14,0
Jordan Mason,12,SF,3,8,0,2,1,5,0
Christian McCaffrey,12,SF,11,31,0,4,3,37,0
De'Von Achane,13,MIA,7,14,0,9,8,56,1
Alec Ingold,13,MIA,0,0,0,2,2,15,0
Raheem Mostert,13,MIA,5,19,0,3,2,15,0
Jahmyr Gibbs,14,DET,15,43,0,6,6,30,1
David Montgomery,14,DET,14,51,1,5,5,33,0
Zach Charbonnet,15,SEA,8,54,1,4,1,12,0
George Holani,15,SEA,3,10,0,0,0,0,0
Kenny McIntosh,15,SEA,3,9,0,0,0,0,0
Kendre Miller,16,NO,8,15,0,2,2,16,0
Jordan Mims,16,NO,4,16,0,8,5,16,0
Jamaal Williams,16,NO,3,8,0,0,0,0,0
Cam Akers,17,MIN,6,18,0,3,2,15,1
Ty Chandler,17,MIN,5,7,0,0,0,0,0
C.J. Ham,17,MIN,0,0,0,2,2,15,0
Aaron Jones,17,MIN,12,47,0,5,4,30,0
Roschon Johnson,18,CHI,2,3,0,5,5,16,0
D'Andre Swift,18,CHI,20,65,1,2,0,0,0
Saquon Barkley,19,PHI,25,119,0,2,2,4,0
Kenneth Gainwell,19,PHI,3,14,0,0,0,0,0
