name,week,team,targ,rec,recyd,rectd
Grant Calcaterra,1,PHI,1,1,11,0
Dallas Goedert,1,PHI,5,4,31,0
Mo Alie-Cox,2,IND,1,1,22,0
Kylen Granson,2,IND,2,1,9,0
Drew Ogletree,2,IND,2,1,12,0
Chig Okonkwo,3,TEN,2,2,15,0
Nick Vannett,3,TEN,2,2,9,1
Josh Whyle,3,TEN,5,4,43,0
Johnny Mundt,4,MIN,2,2,15,0
Josh Oliver,4,MIN,2,2,10,1
Davis Allen,5,LAR,1,0,0,0
Hunter Long,5,LAR,2,2,16,0
Colby Parkinson,5,LAR,13,7,52,0
Trey McBride,6,ARI,8,8,96,0
Dalton Schultz,7,HOU,2,1,28,0
Cade Stover,7,HOU,1,1,15,0
Evan Engram,8,JAX,5,4,36,1
Brenton Strange,8,JAX,5,5,59,0
Sam LaPorta,9,DET,3,2,28,0
Brock Wright,9,DET,1,1,1,0
Cole Kmet,11,CHI,3,3,42,0
George Kittle,12,SF,6,6,82,1
Eric Saubert,12,SF,1,0,0,0
Julian Hill,13,MIA,1,1,5,0
Jonnu Smith,13,MIA,11,10,113,0
Durham Smythe,13,MIA,1,1,8,0
Sam LaPorta,14,DET,7,5,54,0
Brock Wright,14,DET,1,0,0,0
AJ Barner,15,SEA,3,1,5,0
Noah Fant,15,SEA,7,3,15,0
Juwan Johnson,16,NO,2,2,27,0
Foster Moreau,16,NO,3,2,33,0
T.J. Hockenson,17,MIN,6,5,68,0
Johnny Mundt,17,MIN,1,1,7,0
Cole Kmet,18,CHI,2,2,3,0
Grant Calcaterra,19,PHI,1,1,4,0
Dallas Goedert,19,PHI,6,4,47,1
