name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
A.J. Brown,1,PHI,0,0,0,10,5,119,1
Jahan Dotson,1,PHI,0,0,0,1,0,0,0
DeVonta Smith,1,PHI,0,0,0,8,7,84,0
Johnny Wilson,1,PHI,0,0,0,1,0,0,0
Ashton Dulin,2,IND,0,0,0,2,1,13,0
Adonai Mitchell,2,IND,0,0,0,4,1,30,0
Alec Pierce,2,IND,0,0,0,7,5,56,1
Michael Pittman Jr.,2,IND,0,0,0,7,3,21,0
Tyler Boyd,3,TEN,0,0,0,4,3,33,0
Treylon Burks,3,TEN,0,0,0,3,1,9,0
DeAndre Hopkins,3,TEN,0,0,0,7,6,73,1
Calvin Ridley,3,TEN,0,0,0,3,1,9,0
Jordan Addison,4,MIN,1,7,1,4,3,72,1
Justin Jefferson,4,MIN,0,0,0,8,6,85,1
Jalen Nailor,4,MIN,1,0,0,2,1,31,0
Brandon Powell,4,MIN,0,0,0,2,0,0,0
Trent Sherfield Sr.,4,MIN,0,0,0,1,1,8,0
Tutu Atwell,5,LAR,1,7,0,10,6,58,0
Demarcus Robinson,5,LAR,0,0,0,5,3,28,1
Xavier Smith,5,LAR,0,0,0,2,2,6,0
Jordan Whittington,5,LAR,0,0,0,10,7,89,0
Greg Dortch,6,ARI,0,0,0,5,3,36,0
Marvin Harrison Jr.,6,ARI,0,0,0,2,0,0,0
Xavier Weaver,6,ARI,0,0,0,1,0,0,0
Michael Wilson,6,ARI,0,0,0,4,2,21,1
Tank Dell,7,HOU,0,0,0,4,0,0,0
Stefon Diggs,7,HOU,0,0,0,7,5,23,0
Xavier Hutchinson,7,HOU,0,0,0,1,1,11,0
Tim Jones,8,JAX,0,0,0,2,1,20,0
Christian Kirk,8,JAX,0,0,0,5,2,59,0
Brian Thomas Jr.,8,JAX,0,0,0,4,3,60,1
Parker Washington,8,JAX,0,0,0,4,3,46,0
Tim Patrick,9,DET,0,0,0,2,2,12,0
Kalif Raymond,9,DET,1,-12,0,1,1,12,0
Allen Robinson II,9,DET,0,0,0,1,1,2,0
Amon-Ra St. Brown,9,DET,0,0,0,7,7,56,1
Keenan Allen,11,CHI,0,0,0,8,4,41,0
DJ Moore,11,CHI,1,5,0,7,7,62,0
Rome Odunze,11,CHI,0,0,0,10,6,65,0
Chris Conley,12,SF,0,0,0,1,0,0,0
Jauan Jennings,12,SF,0,0,0,7,5,40,0
Deebo Samuel Sr.,12,SF,0,0,0,4,1,21,0
Odell Beckham Jr.,13,MIA,0,0,0,2,1,9,0
Tyreek Hill,13,MIA,0,0,0,9,6,83,1
Jaylen Waddle,13,MIA,0,0,0,4,4,53,0
Malik Washington,13,MIA,0,0,0,4,2,8,0
Tim Patrick,14,DET,0,0,0,7,6,43,2
Amon-Ra St. Brown,14,DET,1,10,0,6,5,43,0
Jameson Williams,14,DET,0,0,0,8,5,80,0
Jake Bobo,15,SEA,0,0,0,1,1,8,0
Tyler Lockett,15,SEA,0,0,0,1,1,22,0
DK Metcalf,15,SEA,0,0,0,3,3,28,0
Jaxon Smith-Njigba,15,SEA,0,0,0,12,10,83,0
Kevin Austin Jr.,16,NO,0,0,0,4,1,17,0
Dante Pettis,16,NO,0,0,0,7,2,31,0
Mason Tipton,16,NO,0,0,0,1,0,0,0
Cedrick Wilson Jr.,16,NO,0,0,0,1,1,13,0
Jordan Addison,17,MIN,0,0,0,8,6,69,1
Justin Jefferson,17,MIN,0,0,0,11,8,92,0
Jalen Nailor,17,MIN,0,0,0,5,5,81,1
Keenan Allen,18,CHI,0,0,0,3,3,25,0
DJ Moore,18,CHI,1,5,0,10,9,86,1
Rome Odunze,18,CHI,0,0,0,2,2,18,0
A.J. Brown,19,PHI,0,0,0,3,1,10,0
Jahan Dotson,19,PHI,0,0,0,2,1,11,1
DeVonta Smith,19,PHI,0,0,0,4,4,55,0
