name,week,team,cmp,att,pyd,ptd,int,rsh,rshyd,rshtd
Anthony Richardson,1,IND,9,19,212,2,1,6,56,1
Caleb Williams,2,CHI,23,37,174,0,2,5,44,0
Sam Darnold,3,MIN,17,28,181,4,0,0,0,0
Nick Mullens,3,MIN,0,0,0,0,0,1,0,0
Trevor Lawrence,4,JAX,18,33,169,2,0,3,5,0
Josh Allen,5,BUF,9,30,131,1,0,4,54,0
Drake Maye,6,NE,20,33,243,3,2,5,38,0
Jordan Love,7,GB,24,33,220,3,2,0,0,0
Anthony Richardson,8,IND,10,32,175,1,1,6,45,0
Aaron Rodgers,9,NYJ,22,32,211,3,0,1,-1,0
Jared Goff,10,DET,15,30,240,2,5,1,2,0
Cooper Rush,11,DAL,32,55,354,1,1,2,2,0
Will Levis,12,TEN,18,24,278,2,1,8,10,0
Mac Jones,13,JAX,20,32,235,2,0,3,6,0
Trevor Lawrence,13,JAX,4,10,41,0,1,1,6,0
Tua Tagovailoa,15,MIA,29,40,196,1,3,0,0,0
Patrick Mahomes,16,KC,28,41,260,1,0,5,33,1
Lamar Jackson,17,BAL,10,15,168,2,0,4,87,1
Josh Johnson,17,BAL,1,2,16,0,0,0,0,0
Will Levis,18,TEN,9,17,175,1,0,4,8,0
Mason Rudolph,18,TEN,7,9,70,0,0,1,5,0
Justin Herbert,19,LAC,14,32,242,1,4,0,0,0
Patrick Mahomes,20,KC,16,25,177,1,0,7,14,0
