name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Jonathan Taylor,1,IND,16,48,1,0,0,0,0
Khalil Herbert,2,CHI,2,3,1,2,2,4,0
Travis Homer,2,CHI,1,6,0,0,0,0,0
D'Andre Swift,2,CHI,14,18,0,5,4,24,0
Ty Chandler,3,MIN,7,13,0,0,0,0,0
Aaron Jones,3,MIN,19,102,0,6,5,46,1
Tank Bigsby,4,JAX,7,90,0,0,0,0,0
Travis Etienne Jr.,4,JAX,11,50,0,2,1,10,0
D'Ernest Johnson,4,JAX,2,0,0,0,0,0,0
James Cook,5,BUF,20,82,1,3,2,17,0
Ray Davis,5,BUF,0,0,0,2,1,4,0
Ty Johnson,5,BUF,3,15,0,0,0,0,0
Antonio Gibson,6,NE,13,19,0,4,3,24,0
JaMycal Hasty,6,NE,3,12,0,2,1,9,0
Terrell Jennings,6,NE,5,13,0,0,0,0,0
Josh Jacobs,7,GB,12,76,0,5,5,16,1
Emanuel Wilson,7,GB,5,11,0,0,0,0,0
Tyler Goodson,8,IND,0,0,0,1,0,0,0
Trey Sermon,8,IND,0,0,0,1,1,14,0
Jonathan Taylor,8,IND,20,105,1,1,1,12,0
Braelon Allen,9,NYJ,4,9,0,1,0,0,0
Breece Hall,9,NYJ,15,74,0,4,2,11,0
Jahmyr Gibbs,10,DET,19,71,0,3,2,37,0
David Montgomery,10,DET,12,32,1,2,1,24,0
Rico Dowdle,11,DAL,10,28,0,5,2,6,0
Ezekiel Elliott,11,DAL,1,8,0,3,3,16,0
Deuce Vaughn,11,DAL,4,13,0,2,1,4,0
Julius Chestnut,12,TEN,1,3,0,1,1,2,0
Tony Pollard,12,TEN,24,119,1,5,3,10,0
Tank Bigsby,13,JAX,7,28,0,1,1,7,0
Travis Etienne Jr.,13,JAX,13,46,0,3,3,12,0
De'Von Achane,15,MIA,12,41,0,7,7,35,0
Raheem Mostert,15,MIA,6,8,0,3,3,13,0
Jaylen Wright,15,MIA,1,3,0,0,0,0,0
Kareem Hunt,16,KC,11,55,1,3,2,24,0
Isiah Pacheco,16,KC,9,26,0,2,1,-1,0
Samaje Perine,16,KC,0,0,0,3,3,50,0
Rasheen Ali,17,BAL,1,-3,0,0,0,0,0
Derrick Henry,17,BAL,27,147,1,2,2,18,0
Keaton Mitchell,17,BAL,11,20,0,1,1,28,0
Julius Chestnut,18,TEN,2,11,0,0,0,0,0
Joshua Kelley,18,TEN,1,2,0,0,0,0,0
Tony Pollard,18,TEN,22,62,0,0,0,0,0
J.K. Dobbins,19,LAC,9,26,0,1,0,0,0
Gus Edwards,19,LAC,7,22,0,0,0,0,0
Hassan Haskins,19,LAC,1,5,0,1,0,0,0
Kareem Hunt,20,KC,8,44,1,1,1,2,0
Isiah Pacheco,20,KC,5,18,0,1,0,0,0
Samaje Perine,20,KC,0,0,0,1,0,0,0
