name,week,team,targ,rec,recyd,rectd
Mo Alie-Cox,1,IND,1,0,0,0
Kylen Granson,1,IND,1,0,0,0
Gerald Everett,2,CHI,3,2,1,0
Cole Kmet,2,CHI,5,4,27,0
Johnny Mundt,3,MIN,3,1,2,1
Josh Oliver,3,MIN,1,0,0,0
Luke Farrell,4,JAX,1,0,0,0
Brenton Strange,4,JAX,3,3,19,0
Dalton Kincaid,5,BUF,6,2,34,0
Hunter Henry,6,NE,5,3,41,1
Austin Hooper,6,NE,2,1,5,0
Tucker Kraft,7,GB,4,3,33,1
Ben Sims,7,GB,1,1,2,0
Mo Alie-Cox,8,IND,1,0,0,0
Kylen Granson,8,IND,2,1,4,0
Will Mallory,8,IND,2,0,0,0
Tyler Conklin,9,NYJ,2,1,-3,0
Jeremy Ruckert,9,NYJ,1,1,4,0
Kenny Yeboah,9,NYJ,1,1,12,0
Sam LaPorta,10,DET,6,3,66,1
Jake Ferguson,11,DAL,1,1,11,0
Luke Schoonmaker,11,DAL,10,6,56,0
Brevyn Spann-Ford,11,DAL,5,4,42,0
Chig Okonkwo,12,TEN,1,1,70,1
Nick Vannett,12,TEN,1,0,0,0
Evan Engram,13,JAX,9,7,41,0
Luke Farrell,13,JAX,1,0,0,0
Brenton Strange,13,JAX,2,1,14,0
Jonnu Smith,15,MIA,11,9,48,1
Durham Smythe,15,MIA,1,1,8,0
Noah Gray,16,KC,1,1,10,0
Travis Kelce,16,KC,7,5,30,0
Mark Andrews,17,BAL,2,2,68,1
Isaiah Likely,17,BAL,1,1,9,1
Nick Vannett,18,TEN,2,2,26,0
Josh Whyle,18,TEN,7,5,29,0
Will Dissly,19,LAC,5,2,16,0
Tucker Fisk,19,LAC,1,1,15,0
Noah Gray,20,KC,3,3,13,0
Travis Kelce,20,KC,8,7,117,1
