name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Ashton Dulin,1,IND,0,0,0,1,1,54,1
Adonai Mitchell,1,IND,0,0,0,5,1,2,0
Alec Pierce,1,IND,0,0,0,3,3,125,1
Michael Pittman Jr.,1,IND,0,0,0,8,4,31,0
DeAndre Carter,2,CHI,0,0,0,4,3,32,0
DJ Moore,2,CHI,0,0,0,10,6,53,0
Rome Odunze,2,CHI,0,0,0,5,2,33,0
Justin Jefferson,3,MIN,0,0,0,8,6,81,1
Jalen Nailor,3,MIN,1,3,0,4,3,31,1
Brandon Powell,3,MIN,0,0,0,2,1,13,0
Trent Sherfield Sr.,3,MIN,0,0,0,1,1,8,0
Gabe Davis,4,JAX,0,0,0,5,1,-2,0
Christian Kirk,4,JAX,0,0,0,12,7,61,1
Brian Thomas Jr.,4,JAX,1,13,0,9,6,86,1
Keon Coleman,5,BUF,0,0,0,5,1,49,1
Mack Hollins,5,BUF,0,0,0,6,2,27,0
Curtis Samuel,5,BUF,1,-1,0,4,1,0,0
Marquez Valdes-Scantling,5,BUF,0,0,0,3,0,0,0
Kendrick Bourne,6,NE,0,0,0,2,2,9,0
Kayshon Boutte,6,NE,0,0,0,3,3,59,1
DeMario Douglas,6,NE,0,0,0,9,6,92,1
Ja'Lynn Polk,6,NE,0,0,0,4,1,4,0
Romeo Doubs,7,GB,0,0,0,10,8,94,0
Bo Melton,7,GB,1,-1,0,1,1,8,0
Jayden Reed,7,GB,1,0,0,4,2,10,0
Christian Watson,7,GB,1,-4,0,2,1,9,0
Dontayvion Wicks,7,GB,0,0,0,6,3,48,1
Josh Downs,8,IND,0,13,0,9,4,109,1
Adonai Mitchell,8,IND,0,0,0,4,1,9,0
Alec Pierce,8,IND,0,0,0,4,1,11,0
Michael Pittman Jr.,8,IND,0,0,0,6,1,16,0
Davante Adams,9,NYJ,0,0,0,11,7,91,1
Malachi Corley,9,NYJ,1,18,0,0,0,0,0
Mike Williams,9,NYJ,0,0,0,2,1,6,0
Garrett Wilson,9,NYJ,0,0,0,10,9,90,2
Amon-Ra St. Brown,10,DET,0,0,0,8,6,60,1
Jameson Williams,10,DET,0,0,0,5,3,53,0
Ryan Flournoy,11,DAL,0,0,0,3,2,19,0
CeeDee Lamb,11,DAL,1,13,0,12,8,93,0
Jonathan Mingo,11,DAL,0,0,0,4,0,0,0
Jalen Tolbert,11,DAL,0,0,0,5,2,21,0
KaVontae Turpin,11,DAL,0,0,0,3,3,86,1
Tyler Boyd,12,TEN,0,0,0,6,6,55,0
Calvin Ridley,12,TEN,0,0,0,6,5,93,0
Nick Westbrook-Ikhine,12,TEN,0,0,0,5,2,48,1
Devin Duvernay,13,JAX,0,0,0,4,2,23,0
Brian Thomas Jr.,13,JAX,1,11,0,10,4,76,1
Parker Washington,13,JAX,0,0,0,12,6,103,1
River Cracraft,15,MIA,0,0,0,1,1,6,0
Grant DuBose,15,MIA,0,0,0,1,1,-2,0
Tyreek Hill,15,MIA,0,0,0,7,2,36,0
Jaylen Waddle,15,MIA,0,0,0,2,0,0,0
Malik Washington,15,MIA,0,0,0,6,5,52,0
Marquise Brown,16,KC,0,0,0,8,5,45,0
DeAndre Hopkins,16,KC,0,0,0,4,4,37,0
JuJu Smith-Schuster,16,KC,0,0,0,1,0,0,0
Justin Watson,16,KC,0,0,0,1,0,0,0
Xavier Worthy,16,KC,3,10,0,11,7,65,1
Rashod Bateman,17,BAL,0,0,0,1,1,12,0
Zay Flowers,17,BAL,0,0,0,5,2,31,0
Anthony Miller,17,BAL,0,0,0,1,1,16,0
Devontez Walker,17,BAL,0,0,0,2,0,0,0
Tylan Wallace,17,BAL,0,0,0,1,1,2,0
Tay Martin,18,TEN,0,0,0,2,1,49,1
Bryce Oliver,18,TEN,0,0,0,3,1,15,0
Calvin Ridley,18,TEN,2,-3,0,5,3,76,0
Nick Westbrook-Ikhine,18,TEN,0,0,0,7,4,50,0
DJ Chark,19,LAC,0,0,0,4,1,10,0
Derius Davis,19,LAC,1,-3,0,1,1,4,0
Quentin Johnston,19,LAC,0,0,0,5,0,0,0
Ladd McConkey,19,LAC,0,0,0,14,9,197,1
Marquise Brown,20,KC,0,0,0,2,0,0,0
DeAndre Hopkins,20,KC,0,0,0,1,0,0,0
JuJu Smith-Schuster,20,KC,0,0,0,1,0,0,0
Xavier Worthy,20,KC,1,-8,0,6,5,45,0
