name,week,team,cmp,att,pyd,ptd,int,rsh,rshyd,rshtd
C.J. Stroud,1,HOU,24,32,234,2,0,4,13,0
Malik Willis,2,GB,12,14,122,1,0,6,41,0
Caleb Williams,3,CHI,33,52,363,2,2,1,8,0
Justin Fields,4,PIT,22,34,312,1,0,10,55,2
Trevor Lawrence,5,JAX,28,34,371,2,1,2,4,0
Will Levis,6,TEN,16,27,95,1,1,3,15,0
Tim Boyle,7,MIA,8,13,74,0,0,1,4,0
Tyler Huntley,7,MIA,7,13,87,1,0,5,20,0
C.J. Stroud,8,HOU,25,37,285,1,0,1,-10,0
Sam Darnold,9,MIN,28,34,290,3,2,4,14,0
Josh Allen,10,BUF,22,37,280,0,2,8,50,1
Mitchell Trubisky,10,BUF,0,0,0,0,0,1,-1,0
Aaron Rodgers,11,NYJ,22,29,184,2,0,1,7,0
Jared Goff,12,DET,26,36,269,0,0,2,0,0
Drake Maye,13,NE,24,30,238,1,1,5,59,0
Bo Nix,15,DEN,20,33,130,3,3,8,23,0
Mason Rudolph,16,TEN,23,34,252,2,3,4,3,0
Drew Lock,17,NYG,17,23,309,4,0,5,0,1
Mac Jones,18,JAX,20,32,225,1,1,5,17,0
