name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Joe Mixon,1,HOU,30,159,1,3,3,19,0
Dare Ogunbowale,1,HOU,0,0,0,1,1,3,0
Dameon Pierce,1,HOU,3,16,0,0,0,0,0
Josh Jacobs,2,GB,32,151,0,0,0,0,0
MarShawn Lloyd,2,GB,6,15,0,1,1,3,0
Emanuel Wilson,2,GB,5,9,0,0,0,0,0
Khalil Herbert,3,CHI,4,9,0,0,0,0,0
Roschon Johnson,3,CHI,8,30,0,5,4,32,0
D'Andre Swift,3,CHI,13,20,0,4,2,22,0
Najee Harris,4,PIT,13,19,0,6,3,54,0
Cordarrelle Patterson,4,PIT,6,43,0,2,2,19,0
Aaron Shampklin,4,PIT,1,5,0,0,0,0,0
Tank Bigsby,5,JAX,13,101,2,1,1,28,0
Travis Etienne Jr.,5,JAX,6,17,0,7,6,43,0
D'Ernest Johnson,5,JAX,1,1,0,3,2,9,0
Julius Chestnut,6,TEN,1,2,0,0,0,0,0
Tony Pollard,6,TEN,17,93,1,3,3,-5,0
Tyjae Spears,6,TEN,6,27,0,0,0,0,0
De'Von Achane,7,MIA,15,77,0,3,2,8,0
Alec Ingold,7,MIA,2,-1,0,1,1,25,0
Raheem Mostert,7,MIA,11,50,0,0,0,0,0
Jaylen Wright,7,MIA,5,33,0,0,0,0,0
Joe Mixon,8,HOU,25,102,1,6,4,32,0
Dare Ogunbowale,8,HOU,1,4,0,1,0,0,0
Dameon Pierce,8,HOU,1,4,0,0,0,0,0
Cam Akers,9,MIN,6,46,0,2,2,7,0
Aaron Jones,9,MIN,21,64,0,4,4,18,0
James Cook,10,BUF,19,80,1,3,1,5,0
Ray Davis,10,BUF,3,6,0,0,0,0,0
Ty Johnson,10,BUF,0,0,0,3,3,32,0
Braelon Allen,11,NYJ,2,6,0,0,0,0,0
Breece Hall,11,NYJ,16,78,1,7,7,43,1
Jahmyr Gibbs,12,DET,21,90,2,3,3,9,0
David Montgomery,12,DET,8,37,1,3,3,36,0
Craig Reynolds,12,DET,1,6,0,0,0,0,0
Antonio Gibson,13,NE,7,62,1,0,0,0,0
Rhamondre Stevenson,13,NE,18,73,0,3,3,21,0
Audric Estime,15,DEN,5,13,0,1,1,5,0
Jaleel McLaughlin,15,DEN,7,21,0,3,3,13,0
Javonte Williams,15,DEN,6,15,0,3,2,8,0
Tony Pollard,16,TEN,8,35,0,4,2,5,0
Tyjae Spears,16,TEN,10,27,2,4,3,39,0
Devin Singletary,17,NYG,5,21,0,1,1,9,0
Tyrone Tracy Jr.,17,NYG,20,59,0,3,2,14,0
Tank Bigsby,18,JAX,14,39,1,1,1,3,0
Travis Etienne Jr.,18,JAX,13,31,0,5,3,29,0
D'Ernest Johnson,18,JAX,2,26,0,2,1,0,0
