name,week,team,targ,rec,recyd,rectd
Brevin Jordan,1,HOU,2,1,3,0
Dalton Schultz,1,HOU,3,3,16,0
Tucker Kraft,2,GB,2,2,16,0
Luke Musgrave,2,GB,1,1,6,0
Gerald Everett,3,CHI,1,0,0,0
Cole Kmet,3,CHI,11,10,97,1
Pat Freiermuth,4,PIT,7,5,57,1
Darnell Washington,4,PIT,2,2,31,0
Josiah Deguara,5,JAX,1,1,2,0
Luke Farrell,5,JAX,2,2,17,0
Brenton Strange,5,JAX,4,4,24,1
Chig Okonkwo,6,TEN,3,3,6,0
Josh Whyle,6,TEN,1,1,2,0
Julian Hill,7,MIA,2,1,4,0
Jonnu Smith,7,MIA,7,7,96,1
Dalton Schultz,8,HOU,6,4,52,0
Cade Stover,8,HOU,3,2,19,0
T.J. Hockenson,9,MIN,4,3,27,0
Johnny Mundt,9,MIN,1,0,0,0
Josh Oliver,9,MIN,5,5,58,1
Dalton Kincaid,10,BUF,5,2,24,0
Dawson Knox,10,BUF,3,2,40,0
Tyler Conklin,11,NYJ,2,1,7,0
Jeremy Ruckert,11,NYJ,2,1,6,0
Kenny Yeboah,11,NYJ,1,1,11,1
Sam LaPorta,12,DET,6,3,19,0
Brock Wright,12,DET,2,2,24,0
Hunter Henry,13,NE,9,7,75,0
Austin Hooper,13,NE,4,4,42,1
Nate Adkins,15,DEN,1,1,15,1
Lucas Krull,15,DEN,2,2,8,0
Adam Trautman,15,DEN,2,2,20,1
David Martin-Robinson,16,TEN,1,1,6,0
Chig Okonkwo,16,TEN,11,9,81,0
Chris Manhertz,17,NYG,1,1,12,0
Luke Farrell,18,JAX,1,1,4,0
Brenton Strange,18,JAX,4,4,60,0
