name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Nico Collins,1,HOU,0,0,0,8,6,117,0
Tank Dell,1,HOU,2,19,0,7,3,40,0
Stefon Diggs,1,HOU,1,6,0,6,6,33,2
Xavier Hutchinson,1,HOU,0,0,0,1,1,3,0
Romeo Doubs,2,GB,0,0,0,3,3,62,0
Bo Melton,2,GB,2,8,0,0,0,0,0
Jayden Reed,2,GB,2,37,0,2,2,9,0
Dontayvion Wicks,2,GB,0,0,0,4,3,26,1
DeAndre Carter,3,CHI,0,0,0,6,3,22,0
DJ Moore,3,CHI,1,-6,0,10,8,78,0
Rome Odunze,3,CHI,1,2,0,11,6,112,1
Calvin Austin III,4,PIT,0,0,0,1,1,17,0
Van Jefferson,4,PIT,0,0,0,3,2,21,0
George Pickens,4,PIT,0,0,0,11,7,113,0
Gabe Davis,5,JAX,0,0,0,4,3,38,0
Devin Duvernay,5,JAX,1,3,0,0,0,0,0
Christian Kirk,5,JAX,0,0,0,4,4,88,0
Brian Thomas Jr.,5,JAX,0,0,0,8,5,122,1
Tyler Boyd,6,TEN,0,0,0,3,3,19,0
Treylon Burks,6,TEN,0,0,0,1,1,10,0
DeAndre Hopkins,6,TEN,0,0,0,6,4,54,0
Calvin Ridley,6,TEN,1,9,0,8,0,0,0
Nick Westbrook-Ikhine,6,TEN,0,0,0,2,1,9,1
Odell Beckham Jr.,7,MIA,0,0,0,2,0,0,0
Tyreek Hill,7,MIA,1,5,0,2,1,8,0
Jaylen Waddle,7,MIA,0,0,0,2,1,11,0
Malik Washington,7,MIA,0,0,0,3,2,9,0
Tank Dell,8,HOU,0,0,0,4,4,35,1
Stefon Diggs,8,HOU,1,-4,0,9,5,81,0
Xavier Hutchinson,8,HOU,0,0,0,1,1,19,0
John Metchie III,8,HOU,0,0,0,4,3,29,0
Robert Woods,8,HOU,0,0,0,2,2,18,0
Jordan Addison,9,MIN,1,9,0,5,5,42,1
Justin Jefferson,9,MIN,0,0,0,9,7,137,0
Jalen Nailor,9,MIN,0,0,0,1,1,7,1
Brandon Powell,9,MIN,0,0,0,1,1,9,0
Trent Sherfield Sr.,9,MIN,0,0,0,1,1,7,0
Mack Hollins,10,BUF,0,0,0,4,4,86,0
Curtis Samuel,10,BUF,0,0,0,8,4,35,0
Khalil Shakir,10,BUF,0,0,0,9,6,58,0
Davante Adams,11,NYJ,0,0,0,7,6,72,0
Malachi Corley,11,NYJ,0,0,0,1,1,10,0
Xavier Gipson,11,NYJ,0,0,0,1,1,17,0
Garrett Wilson,11,NYJ,0,0,0,8,4,18,0
Tim Patrick,12,DET,0,0,0,4,4,55,0
Kalif Raymond,12,DET,0,0,0,1,0,0,0
Amon-Ra St. Brown,12,DET,0,0,0,7,6,62,0
Jameson Williams,12,DET,1,4,0,7,5,64,0
Kendrick Bourne,13,NE,1,6,0,3,3,39,0
Kayshon Boutte,13,NE,0,0,0,6,3,41,0
DeMario Douglas,13,NE,0,0,0,4,4,20,0
Ja'Lynn Polk,13,NE,0,0,0,1,0,0,0
Troy Franklin,15,DEN,0,0,0,5,2,9,0
Lil'Jordan Humphrey,15,DEN,0,0,0,1,0,0,0
Marvin Mims Jr.,15,DEN,1,0,0,4,4,20,0
Courtland Sutton,15,DEN,0,0,0,9,3,32,1
Devaughn Vele,15,DEN,0,0,0,1,0,0,0
Tyler Boyd,16,TEN,0,0,0,3,2,20,0
Mason Kinsey,16,TEN,0,0,0,1,1,6,0
Calvin Ridley,16,TEN,0,0,0,5,3,78,1
Nick Westbrook-Ikhine,16,TEN,0,0,0,4,2,17,1
Malik Nabers,17,NYG,0,0,0,8,7,171,2
Wan'Dale Robinson,17,NYG,0,0,0,6,5,71,1
Darius Slayton,17,NYG,0,0,0,3,1,32,1
Josh Reynolds,18,JAX,0,0,0,3,1,11,0
Brian Thomas Jr.,18,JAX,0,0,0,11,7,103,0
Parker Washington,18,JAX,0,0,1,4,2,15,1
