name,week,team,cmp,att,pyd,ptd,int,rsh,rshyd,rshtd
Tua Tagovailoa,1,MIA,23,37,338,1,0,1,11,0
Deshaun Watson,2,CLE,22,34,186,0,0,5,20,1
Jameis Winston,2,CLE,0,0,0,0,0,2,4,0
Josh Allen,3,BUF,23,30,263,4,0,6,44,0
Mitchell Trubisky,3,BUF,1,1,3,0,0,1,-1,0
C.J. Stroud,4,HOU,27,40,345,2,0,3,17,0
Joe Flacco,5,IND,33,44,359,3,0,3,22,0
Tyson Bagent,6,CHI,0,0,0,0,0,3,-3,0
Caleb Williams,6,CHI,23,29,226,4,1,4,56,0
Drake Maye,7,NE,26,37,276,2,0,3,18,0
Jordan Love,8,GB,14,22,196,0,1,1,-1,0
Malik Willis,8,GB,4,5,56,1,0,4,23,0
Jalen Hurts,9,PHI,18,24,230,2,0,13,67,1
Sam Darnold,10,MIN,24,38,241,0,3,7,28,0
Jared Goff,11,DET,24,29,412,4,0,4,21,0
Hendon Hooker,11,DET,3,4,37,0,0,4,3,0
C.J. Stroud,13,HOU,22,34,242,1,0,5,7,0
Will Levis,14,TEN,19,32,168,0,0,1,3,0
Aaron Rodgers,15,NYJ,16,30,289,3,0,6,45,0
Aidan O'Connell,16,LV,24,38,257,0,0,7,12,0
Mason Rudolph,17,TEN,19,31,193,1,1,5,23,0
Joe Flacco,18,IND,23,40,264,1,0,0,0,0
