name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
De'Von Achane,1,MIA,10,24,1,7,7,76,0
Alec Ingold,1,MIA,2,8,0,1,0,0,0
Raheem Mostert,1,MIA,6,9,0,3,2,10,0
Jeff Wilson Jr.,1,MIA,5,26,0,0,0,0,0
Jerome Ford,2,CLE,7,64,0,2,1,0,0
D'Onta Foreman,2,CLE,14,42,0,1,1,9,0
Pierre Strong Jr.,2,CLE,1,-5,0,2,1,10,0
James Cook,3,BUF,11,39,1,5,4,48,0
Ray Davis,3,BUF,7,22,1,1,1,1,0
Ty Johnson,3,BUF,3,18,0,3,3,28,1
Cam Akers,4,HOU,13,53,0,0,0,0,0
Dare Ogunbowale,4,HOU,2,7,0,4,4,47,1
J.J. Taylor,4,HOU,6,18,0,1,0,0,0
Tyler Goodson,5,IND,5,26,0,3,3,31,0
Trey Sermon,5,IND,10,38,1,6,6,25,0
Roschon Johnson,6,CHI,5,8,0,3,2,25,0
D'Andre Swift,6,CHI,17,91,1,4,4,28,0
Antonio Gibson,7,NE,3,4,0,1,1,9,0
JaMycal Hasty,7,NE,2,-2,0,5,5,49,1
Rhamondre Stevenson,7,NE,7,18,0,3,2,7,0
Chris Brooks,8,GB,4,16,0,1,1,1,0
Josh Jacobs,8,GB,25,127,2,2,1,-2,0
Emanuel Wilson,8,GB,4,5,0,2,2,-2,0
Saquon Barkley,9,PHI,27,159,1,4,3,40,1
Kenneth Gainwell,9,PHI,5,9,0,1,1,1,0
Cam Akers,10,MIN,13,38,0,1,1,9,0
Ty Chandler,10,MIN,4,18,0,0,0,0,0
Aaron Jones,10,MIN,17,88,0,3,2,13,0
Jahmyr Gibbs,11,DET,11,69,1,1,1,54,0
David Montgomery,11,DET,15,75,2,3,3,20,0
Craig Reynolds,11,DET,2,21,0,0,0,0,0
Sione Vaki,11,DET,5,9,0,0,0,0,0
Joe Mixon,13,HOU,20,101,1,6,4,18,0
Dameon Pierce,13,HOU,0,0,0,1,1,1,0
Tony Pollard,14,TEN,21,102,0,2,2,22,0
Tyjae Spears,14,TEN,6,21,0,2,1,2,0
Braelon Allen,15,NYJ,2,5,0,0,0,0,0
Isaiah Davis,15,NYJ,5,24,0,1,1,2,0
Breece Hall,15,NYJ,9,30,1,2,2,21,0
Ameer Abdullah,16,LV,7,38,1,6,5,47,0
Alexander Mattison,16,LV,12,27,1,7,4,29,0
Julius Chestnut,17,TEN,3,17,0,1,0,0,0
Tyjae Spears,17,TEN,20,95,0,4,3,8,0
Tyler Goodson,18,IND,0,0,0,2,1,5,0
Trey Sermon,18,IND,0,0,0,3,1,5,0
Jonathan Taylor,18,IND,34,177,1,2,1,3,0
