name,week,team,targ,rec,recyd,rectd
Julian Hill,1,MIA,1,1,6,0
Jonnu Smith,1,MIA,2,1,7,0
Durham Smythe,1,MIA,3,0,0,0
Jordan Akins,2,CLE,1,1,10,0
Dalton Kincaid,3,BUF,5,3,41,1
Dawson Knox,3,BUF,2,1,7,0
Dalton Schultz,4,HOU,5,3,34,0
Cade Stover,4,HOU,1,1,27,0
Mo Alie-Cox,5,IND,4,2,37,1
Will Mallory,5,IND,1,1,7,0
Drew Ogletree,5,IND,1,1,5,0
Gerald Everett,6,CHI,1,0,0,0
Cole Kmet,6,CHI,5,5,70,2
Marcedes Lewis,6,CHI,1,1,2,0
Hunter Henry,7,NE,9,8,92,0
Austin Hooper,7,NE,5,4,32,0
Tucker Kraft,8,GB,3,3,78,1
Ben Sims,8,GB,1,0,0,0
Grant Calcaterra,9,PHI,5,5,30,0
T.J. Hockenson,10,MIN,9,8,72,0
Josh Oliver,10,MIN,6,4,52,0
Brock Wright,11,DET,1,1,5,1
Shane Zylstra,11,DET,1,1,22,0
Dalton Schultz,13,HOU,7,5,61,1
Cade Stover,13,HOU,1,1,4,0
David Martin-Robinson,14,TEN,1,0,0,0
Chig Okonkwo,14,TEN,4,3,8,0
Nick Vannett,14,TEN,2,1,4,0
Josh Whyle,14,TEN,2,2,31,0
Jeremy Ruckert,15,NYJ,3,1,12,0
Brock Bowers,16,LV,13,11,99,0
Michael Mayer,16,LV,1,0,0,0
Chig Okonkwo,17,TEN,7,5,42,0
Nick Vannett,17,TEN,1,1,8,1
Josh Whyle,17,TEN,1,0,0,0
Mo Alie-Cox,18,IND,1,0,0,0
Kylen Granson,18,IND,4,1,7,0
Drew Ogletree,18,IND,1,1,21,0
