name,week,team,rsh,rshyd,rshtd,targ,rec,recyd,rectd
Braxton Berrios,1,MIA,0,0,0,2,0,0,0
Tyreek Hill,1,MIA,0,0,0,12,7,130,1
Jaylen Waddle,1,MIA,1,3,0,5,5,109,0
David Bell,2,CLE,0,0,0,3,3,27,0
Amari Cooper,2,CLE,0,0,0,8,3,11,0
Jerry Jeudy,2,CLE,0,0,0,6,5,73,0
Elijah Moore,2,CLE,0,0,0,8,6,44,0
Cedric Tillman,2,CLE,0,0,0,2,1,2,0
Keon Coleman,3,BUF,0,0,0,1,1,24,1
Mack Hollins,3,BUF,0,0,0,2,1,16,0
Curtis Samuel,3,BUF,1,0,0,3,3,22,0
Khalil Shakir,3,BUF,0,0,0,6,6,72,1
Marquez Valdes-Scantling,3,BUF,0,0,0,2,1,7,0
Nico Collins,4,HOU,0,0,0,15,12,151,1
Stefon Diggs,4,HOU,1,6,1,9,5,69,0
John Metchie III,4,HOU,0,0,0,1,1,7,0
Steven Sims,4,HOU,1,0,0,0,0,0,0
Robert Woods,4,HOU,0,0,0,3,1,10,0
Josh Downs,5,IND,0,0,0,12,9,69,0
Ashton Dulin,5,IND,1,9,0,0,0,0,0
Adonai Mitchell,5,IND,1,4,0,7,4,38,0
Alec Pierce,5,IND,0,0,0,3,3,134,1
Michael Pittman Jr.,5,IND,0,0,0,8,5,37,1
Keenan Allen,6,CHI,0,0,0,5,5,41,2
DJ Moore,6,CHI,0,0,0,5,4,20,0
Rome Odunze,6,CHI,0,0,0,2,2,40,0
Kendrick Bourne,7,NE,0,0,0,2,1,14,0
Kayshon Boutte,7,NE,0,0,0,2,1,33,0
DeMario Douglas,7,NE,0,0,0,3,2,14,0
K.J. Osborn,7,NE,0,0,0,3,2,26,1
Ja'Lynn Polk,7,NE,0,0,0,3,0,0,0
Romeo Doubs,8,GB,0,0,0,6,3,72,0
Bo Melton,8,GB,0,0,0,1,0,0,0
Jayden Reed,8,GB,1,0,0,3,2,55,0
Christian Watson,8,GB,0,0,0,6,4,39,0
Dontayvion Wicks,8,GB,0,0,0,2,2,11,0
A.J. Brown,9,PHI,0,0,0,4,2,36,0
Jahan Dotson,9,PHI,0,0,0,1,1,36,0
Ainias Smith,9,PHI,1,2,0,1,1,0,0
DeVonta Smith,9,PHI,0,0,0,6,4,87,1
Jordan Addison,10,MIN,1,4,0,5,2,25,0
Justin Jefferson,10,MIN,0,0,0,9,5,48,0
Jalen Nailor,10,MIN,1,-7,0,3,1,11,0
Trent Sherfield Sr.,10,MIN,0,0,0,1,1,11,0
Tim Patrick,11,DET,0,0,0,4,3,26,0
Kalif Raymond,11,DET,0,0,0,2,2,30,0
Allen Robinson II,11,DET,0,0,0,2,1,7,0
Amon-Ra St. Brown,11,DET,1,-4,0,11,11,161,2
Jameson Williams,11,DET,1,2,0,6,4,124,1
Nico Collins,13,HOU,0,0,0,11,8,119,0
Tank Dell,13,HOU,0,0,0,4,1,23,0
John Metchie III,13,HOU,0,0,0,2,2,16,0
Robert Woods,13,HOU,0,0,0,1,0,0,0
Tyler Boyd,14,TEN,0,0,0,4,1,7,0
Bryce Oliver,14,TEN,0,0,0,1,1,16,0
Calvin Ridley,14,TEN,0,0,0,12,7,59,0
Nick Westbrook-Ikhine,14,TEN,0,0,0,2,1,19,0
Davante Adams,15,NYJ,0,0,0,12,9,198,2
Allen Lazard,15,NYJ,0,0,0,4,0,0,0
Garrett Wilson,15,NYJ,0,0,0,6,3,56,1
Terrace Marshall Jr.,16,LV,0,0,0,1,0,0,0
Jakobi Meyers,16,LV,0,0,0,5,2,41,0
Tre Tucker,16,LV,1,-8,0,4,2,41,0
Tyler Boyd,17,TEN,0,0,0,4,2,14,0
Calvin Ridley,17,TEN,1,7,0,6,5,84,0
Nick Westbrook-Ikhine,17,TEN,0,0,0,6,3,37,0
Josh Downs,18,IND,0,0,0,13,10,94,0
Adonai Mitchell,18,IND,0,0,0,1,0,0,0
Alec Pierce,18,IND,0,0,0,2,2,57,1
Michael Pittman Jr.,18,IND,0,0,0,10,6,72,0
