name,week,team,cmp,att,pyd,ptd,int,rsh,rshyd,rshtd
Lamar Jackson,1,BAL,26,41,273,1,0,16,122,0
Joe Burrow,2,CIN,23,36,258,2,0,6,9,0
Kirk Cousins,3,ATL,20,29,230,1,1,1,-1,0
Justin Herbert,4,LAC,16,27,179,1,0,3,0,0
Derek Carr,5,NO,18,28,165,2,1,0,0,0
Jake Haener,5,NO,2,7,17,0,0,2,11,0
Brock Purdy,7,SF,17,31,212,0,3,8,27,2
Gardner Minshew II,8,LV,24,30,209,2,0,2,6,0
Baker Mayfield,9,TB,23,31,200,2,0,4,20,0
Bo Nix,10,DEN,22,30,215,2,0,3,-5,0
Josh Allen,11,BUF,27,40,262,1,1,12,55,1
Bryce Young,12,CAR,21,35,263,1,0,3,20,0
Aidan O'Connell,13,LV,23,35,340,2,0,1,0,0
Taylor Heinicke,14,LAC,0,0,0,0,0,1,12,0
Justin Herbert,14,LAC,21,30,213,1,0,4,12,0
Dorian Thompson-Robinson,15,CLE,4,9,18,0,1,3,16,0
Jameis Winston,15,CLE,16,25,146,0,3,2,-2,0
C.J. Stroud,16,HOU,23,39,244,2,2,2,23,0
Russell Wilson,17,PIT,23,37,205,0,1,6,55,1
Bo Nix,18,DEN,26,29,321,4,0,7,47,0
Jarrett Stidham,18,DEN,0,0,0,0,0,2,7,0
C.J. Stroud,20,HOU,19,28,245,0,0,6,42,0
Josh Allen,21,BUF,22,34,237,2,0,11,39,0
Jalen Hurts,22,PHI,17,22,221,2,1,11,72,1
Kenny Pickett,22,PHI,0,1,0,0,0,3,-4,0
